"configuration","problem","model","data_file","status","time","flatTime","run","method","flatBoolVars","flatIntVars","intVariables","propagations","solveTime","unifiedVariables","failures","nSolutions","flatIntConstraints","peakDepth","blockType","objective","userDecisions","paths","restarts","flatBoolConstraints","initTime","extractedViews","evaluatedReifiedConstraints","oracleDecisions","propagators"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.5431887130253","0.241446","results_container_seperate+merge","minimize","1728","1205","605","8477981","1199.788063","0","97892","56","1758","3785","complete","10530","0","0","0","960","0.042896","600","2688","364054","2118"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.6027137129568","0.26274","results_container_seperate+merge","minimize","2178","1505","755","4155361","1199.690829","0","45845","38","2208","4356","complete","18972","0","0","0","1210","0.057939","750","3388","295289","2668"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.5804278119467","0.242153","results_container_seperate+merge","minimize","1728","1205","605","7544039","1199.713336","0","120885","30","1758","3510","complete","9408","0","0","0","960","0.041145","600","2688","244808","2118"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.601550033316","0.267461","results_container_seperate+merge","minimize","2160","1505","755","4150819","1199.673591","0","27747","55","2196","4438","complete","15840","0","0","0","1200","0.059636","750","3360","383856","2646"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.4962123278528","0.194269","results_container_seperate+merge","minimize","1026","725","365","20483178","1199.775989","0","384884","30","1050","721","complete","4488","0","0","0","570","0.026053","360","1596","448117","1260"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.618052081205","0.210077","results_container_seperate+merge","minimize","1107","785","395","18947795","1199.811769","0","362516","22","1134","850","complete","7344","0","0","0","615","0.028067","390","1722","422193","1359"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.5150292208418","0.247557","results_container_seperate+merge","minimize","1728","1205","605","5994540","1199.720918","0","15778","56","1758","3878","complete","11760","0","0","372","960","0.042747","600","2688","368456","2118"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.49989194097","0.205113","results_container_seperate+merge","minimize","1026","725","365","21133937","1199.759021","0","381418","36","1050","920","complete","5796","0","0","0","570","0.032628","360","1596","456752","1260"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.5799608137459","0.238027","results_container_seperate+merge","minimize","1728","1205","605","9056436","1199.788499","0","124702","31","1758","1577","complete","9072","0","0","0","960","0.039981","600","2688","219291","2118"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.5112440097146","0.20701","results_container_seperate+merge","minimize","1026","725","365","29076865","1199.77194","0","248823","49","1050","1660","complete","5168","0","0","2926","570","0.032615","360","1596","741270","1260"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.5827511767857","0.266487","results_container_seperate+merge","minimize","2160","1505","755","3099496","1199.677594","0","8082","21","2196","8722","complete","36800","0","0","71","1200","0.059764","750","3360","291117","2646"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.5425708773546","0.191283","results_container_seperate+merge","minimize","846","605","305","27861459","1199.821591","0","498136","43","870","600","complete","4692","0","0","0","470","0.027941","300","1316","567209","1040"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.5037047220394","0.189184","results_container_seperate+merge","minimize","837","605","305","27926799","1199.785853","0","505406","41","864","1200","complete","3840","0","0","0","465","0.027944","300","1302","574072","1029"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.5991209819913","0.237675","results_container_seperate+merge","minimize","1728","1205","605","8088413","1199.808107","0","126896","31","1758","1261","complete","5600","0","0","0","960","0.039264","600","2688","217309","2118"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.5234488439746","0.199169","results_container_seperate+merge","minimize","1026","725","365","24973853","1199.796966","0","220686","30","1050","1442","complete","4641","0","0","2266","570","0.026219","360","1596","668498","1260"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.5632072500885","0.247649","results_container_seperate+merge","minimize","1728","1205","605","6580717","1199.767284","0","16076","52","1758","4179","complete","7488","0","0","420","960","0.041642","600","2688","397912","2118"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.5039025526494","0.187373","results_container_seperate+merge","minimize","837","605","305","29117687","1199.784433","0","365117","54","864","2633","complete","3705","0","0","2781","465","0.028005","300","1302","823184","1029"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.526723453775","0.189586","results_container_seperate+merge","minimize","837","605","305","28105084","1199.805491","0","508508","41","864","1200","complete","3840","0","0","0","465","0.02799","300","1302","577493","1029"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.540554764215","0.247265","results_container_seperate+merge","minimize","1728","1205","605","8158488","1199.746186","0","95634","52","1758","3651","complete","6720","0","0","0","960","0.041636","600","2688","390911","2118"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.4971966915764","0.192165","results_container_seperate+merge","minimize","1026","725","365","20352635","1199.777909","0","382436","30","1050","721","complete","4488","0","0","0","570","0.026139","360","1596","445488","1260"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5116909891367","0.206073","results_container_seperate+merge","minimize","1026","725","365","21185049","1199.769629","0","382145","36","1050","920","complete","5796","0","0","0","570","0.032598","360","1596","457489","1260"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.5930361729115","0.241621","results_container_seperate+merge","minimize","1728","1205","605","7582969","1199.73095","0","122058","30","1758","3510","complete","9408","0","0","0","960","0.041087","600","2688","246029","2118"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.5003609671257","0.214392","results_container_seperate+merge","minimize","1116","785","395","16502040","1199.758827","0","289818","41","1140","815","complete","4356","0","0","0","620","0.032698","390","1736","360341","1370"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.1971199633554","0.11988","results_container_seperate+merge","minimize","837","605","305","25762338","1199.879681","0","243160","32","864","1245","complete","3312","0","0","3702","465","0.021861","300","1302","840870","1029"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.7103898008354","0.264837","results_container_seperate+merge","minimize","2160","1505","755","4139906","1199.789069","0","27513","55","2196","4438","complete","15840","0","0","0","1200","0.060238","750","3360","383614","2646"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.533953558188","0.211832","results_container_seperate+merge","minimize","1116","785","395","16451256","1199.789735","0","288998","41","1140","815","complete","4356","0","0","0","620","0.032729","390","1736","359505","1370"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.4924607579596","0.209493","results_container_seperate+merge","minimize","1116","785","395","23757311","1199.756167","0","152763","51","1140","1917","complete","4356","0","0","2264","620","0.032674","390","1736","672540","1370"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.5061154360883","0.185289","results_container_seperate+merge","minimize","846","605","305","27947911","1199.786694","0","499229","43","870","600","complete","4692","0","0","0","470","0.02796","300","1316","568331","1040"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.4519590889104","0.266767","results_container_seperate+merge","minimize","2178","1505","755","4332350","1199.689972","0","27106","30","2208","5527","complete","39600","0","0","227","1210","0.05695","750","3388","338464","2668"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5025396677665","0.210807","results_container_seperate+merge","minimize","1026","725","365","23088335","1199.766368","0","181731","38","1050","1648","complete","5460","0","0","1974","570","0.032596","360","1596","631659","1260"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.527903397102","0.232237","results_container_seperate+merge","minimize","1728","1205","605","6770042","1199.741712","0","29496","42","1758","4496","complete","7125","0","0","406","960","0.039221","600","2688","356341","2118"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.5726861339062","0.195743","results_container_seperate+merge","minimize","837","605","305","23991901","1199.781153","0","453418","38","864","769","complete","3072","0","0","0","465","0.027897","300","1302","514122","1029"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.50608441839","0.208725","results_container_seperate+merge","minimize","1026","725","365","21291183","1199.76503","0","380057","31","1050","876","complete","5346","0","0","0","570","0.032616","360","1596","447396","1260"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.5679646916687","0.245951","results_container_seperate+merge","minimize","1728","1205","605","8176663","1199.771748","0","95951","52","1758","3651","complete","6720","0","0","0","960","0.04151","600","2688","391252","2118"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.519452293869","0.231068","results_container_seperate+merge","minimize","1728","1205","605","6859896","1199.736644","0","104567","30","1758","1261","complete","5950","0","0","0","960","0.039307","600","2688","191895","2118"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.5029639457352","0.189897","results_container_seperate+merge","minimize","846","605","305","32897179","1199.785694","0","292158","43","870","1408","complete","4860","0","0","3974","470","0.027945","300","1316","964718","1040"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.5790606909432","0.23537","results_container_seperate+merge","minimize","1728","1205","605","9023225","1199.790927","0","124109","31","1758","1577","complete","9072","0","0","0","960","0.040142","600","2688","218686","2118"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.4817345640622","0.268544","results_container_seperate+merge","minimize","2178","1505","755","4266373","1199.719326","0","47928","38","2208","4356","complete","18972","0","0","0","1210","0.056465","750","3388","297456","2668"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.6048590620048","0.240333","results_container_seperate+merge","minimize","1728","1205","605","8906678","1199.742204","0","51729","49","1758","2497","complete","10404","0","0","482","960","0.041012","600","2688","299438","2118"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.5866014328785","0.208993","results_container_seperate+merge","minimize","1107","785","395","19740391","1199.77673","0","174999","38","1134","2260","complete","7452","0","0","1663","615","0.027972","390","1722","591826","1359"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.1567582329735","0.119364","results_container_seperate+merge","minimize","837","605","305","23999725","1199.863033","0","453586","38","864","769","complete","3072","0","0","0","465","0.021943","300","1302","514298","1029"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.5287434239872","0.230462","results_container_seperate+merge","minimize","1728","1205","605","8982765","1199.737259","0","56990","37","1758","2497","complete","10140","0","0","465","960","0.040446","600","2688","289712","2118"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.5723766009323","0.208878","results_container_seperate+merge","minimize","1107","785","395","18955488","1199.768052","0","362670","22","1134","850","complete","7344","0","0","0","615","0.028529","390","1722","422369","1359"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.53082249593","0.197766","results_container_seperate+merge","minimize","1026","725","365","21178371","1199.794941","0","378028","31","1050","876","complete","5346","0","0","0","570","0.025808","360","1596","445196","1260"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.575933857821","0.248437","results_container_seperate+merge","minimize","1728","1205","605","8454005","1199.77522","0","97464","56","1758","3785","complete","10530","0","0","0","960","0.042993","600","2688","363581","2118"
