"configuration","problem","model","data_file","status","time","randomSeed","flatBoolConstraints","optTime","trailMem","evaluatedReifiedConstraints","intVariables","failures","oracleDecisions","nogoods","solutions","nodes","peakDepth","flatTime","flatIntVars","objective","userDecisions","evaluatedHalfReifiedConstraints","initTime","propagations","solveTime","variables","intVars","backjumps","propagators","extractedViews","blockType","flatIntConstraints","objectiveBound","nSolutions","unifiedVariables","flatBoolVars","paths","baseMem","run","peakMem","boolVariables","method","restarts"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1203.1560658710077","","20860","","","120744","","","","","","","","7.00478","1799","15225","","","","","","","","","","","","121559","","11","","120552","0","","results_container_new","","","minimize",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.2529627438635","","570","","","1596","365","278340","327687","","","","702","0.123459","725","5320","0","","0.026281","17903289","1199.894321","","","","1260","360","complete","1050","","34","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.1810348704457","","620","","","1736","395","269640","333373","","","","2525","0.131772","785","4788","0","","0.029136","17932317","1199.857038","","","","1370","390","complete","1140","","38","0","1116","0","","results_container_new","","","minimize","0"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.7590227648616","-178313657","7710","1197.498","0.94","43638","","1376562","","1376562","","2158970","1175","2.47217","1079","14256","","","0.581","7504928285","1197.576","111628","1079","763150","87786","","","44129","","30","","43524","0","0.0","results_container_new","0.0","110547","minimize","30"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1620212784037","","570","","","1596","365","292986","341726","","","","827","0.125341","725","6384","0","","0.026989","12155349","1199.855525","","","","1260","360","complete","1050","","33","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.3359530419111","","1210","","","3388","755","75753","313945","","","","4534","0.186808","1505","16698","0","","0.05848","6827625","1199.831982","","","","2668","750","complete","2208","","50","0","2178","0","","results_container_new","","","minimize","0"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","UNKNOWN","1200.9354376271367","","4950","","","","","1152152","","","0","2304440","247","1.65924","605","","","29700","0.266571","3269932593","1198.34","30305","","","35048","","","30098","","0","","29700","0","","results_container_new","","","minimize","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.1807896010578","","20860","","","1366","","507","","","","","","7.04446","1205","8775","","119378","","2292435","52.9413","","","","","","","120965","144","1","","120552","0","","results_container_new","","119546","minimize",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3074969248846","","1200","","","3360","755","30592","276757","","","","4440","0.194603","1505","17248","0","","0.058724","3117484","1199.755132","","","","2646","750","complete","2196","","52","0","2160","0","","results_container_new","","","minimize","0"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.2047561239451","","960","","","2688","605","70472","274192","","","","3671","0.157743","1205","12992","0","","0.044111","5718819","1199.844183","","","","2118","600","complete","1758","","53","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.1880845455453","","9005","","","1736","395","1519604","3717674","","","","17554","2.82052","785","4524","0","50310","0.577528","1581416476","1196.650946","","","","51679","390","complete","51449","","48","0","51426","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.2545787505805","","960","","","2688","605","88786","300377","","","","3667","0.171215","1205","11904","0","","0.043814","7373590","1199.86423","","","","2118","600","complete","1758","","55","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.158302246593","","465","","","1302","305","428813","481332","","","","651","0.113646","605","3312","0","","0.022304","18754708","1199.87821","","","","1029","300","complete","864","","41","0","837","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3170133717358","","1200","","","3360","755","72160","278252","","","","5936","0.180952","1505","18240","0","","0.060114","5970032","1199.898915","","","","2646","750","complete","2196","","38","0","2160","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2869383869693","","615","","","1722","395","301811","349333","","","","859","0.131927","785","7800","0","","0.028132","16705480","1199.903295","","","","1359","390","complete","1134","","31","0","1107","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.19176838547","","620","","","1736","395","379141","447493","","","","1003","0.139687","785","4860","0","","0.028064","24270232","1199.850117","","","","1370","390","complete","1140","","43","0","1116","0","","results_container_new","","","minimize","0"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.1249975292012","","9000","","","1722","395","1732667","3575159","","","","17848","2.67482","785","7360","0","50310","0.573265","1777825100","1196.79377","","","","51668","390","complete","51443","","43","0","51417","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.3695442872122","","960","","","2688","605","158228","210912","","","","1143","0.190546","1205","7308","0","","0.040514","10989001","1199.880614","","","","2118","600","complete","1758","","22","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.2998286196962","","465","","","1302","305","402476","450542","","","","658","0.121163","605","3420","0","","0.022915","25318895","1199.889139","","","","1029","300","complete","864","","30","0","837","0","","results_container_new","","","minimize","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1203.4141125483438","","32325","","","1681","","1093","","","","","","11.5457","1505","20286","","186749","","5129936","116.01","","","","","","","188705","375","1","","188190","0","","results_container_new","","188575","minimize",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.2808714425191","","960","","","2688","605","106927","169842","","","","1509","0.176466","1205","11088","0","","0.040795","6441677","1199.800268","","","","2118","600","complete","1758","","39","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.3717100145295","","960","","","2688","605","96225","151133","","","","1229","0.166321","1205","10920","0","","0.040782","4865529","1199.827514","","","","2118","600","complete","1758","","30","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.347894073464","","960","","","2688","605","126321","194453","","","","1078","0.165402","1205","9792","0","","0.042046","8503697","1199.861621","","","","2118","600","complete","1758","","38","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.2865470936522","","960","","","2688","605","88284","143049","","","","1699","0.159558","1205","10584","0","","0.041144","7164608","1199.86705","","","","2118","600","complete","1758","","33","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.268326553516","","1210","","","3388","755","41211","235420","","","","4347","0.178868","1505","17556","0","","0.058084","4032074","1199.861722","","","","2668","750","complete","2208","","39","0","2178","0","","results_container_new","","","minimize","0"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.2914290204644","","465","","","1302","305","324553","349362","","","","655","0.123448","605","4320","0","","0.022515","22566611","1199.854246","","","","1029","300","complete","864","","28","0","837","0","","results_container_new","","","minimize","0"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1202.6274111876264","","20860","","","2688","605","1058736","3805402","","","","39570","6.41736","1205","10230","0","119400","1.446321","1954502887","1192.267984","","","","121517","600","complete","121157","","39","0","121128","0","","results_container_new","","","minimize","0"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.4449801975861","","1210","","","3388","755","43705","244441","","","","4456","0.180208","1505","16830","0","","0.059158","4845688","1199.925974","","","","2668","750","complete","2208","","42","0","2178","0","","results_container_new","","","minimize","0"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.4002916682512","","1200","","","3360","755","57170","238954","","","","4614","0.181986","1505","19404","0","","0.05928","4962051","1199.99253","","","","2646","750","complete","2196","","36","0","2160","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.1762974737212","","620","","","1736","395","267618","324108","","","","814","0.130914","785","4576","0","","0.027206","16049729","1199.861405","","","","1370","390","complete","1140","","47","0","1116","0","","results_container_new","","","minimize","0"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.1598550751805","","620","","","1736","395","343849","412730","","","","876","0.12597","785","4524","0","","0.028006","21902803","1199.853702","","","","1370","390","complete","1140","","42","0","1116","0","","results_container_new","","","minimize","0"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.0702947806567","","7710","","","1596","365","2123931","4017361","","","","13828","2.28337","725","5152","0","42835","0.491142","2018318511","1197.26715","","","","44094","360","complete","43884","","48","0","43861","0","","results_container_new","","","minimize","0"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1204.2273919554427","","32335","","","188444","","","","","","","","11.1042","2249","62208","","","","","","","","","","","","189459","","4","","188202","0","","results_container_new","","","minimize",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.2273270776495","","465","","","1302","305","355552","395800","","","","974","0.117655","605","4048","0","","0.021739","28755556","1199.888562","","","","1029","300","complete","864","","46","0","837","0","","results_container_new","","","minimize","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.1022516097873","","9005","","","868","","48776","","","","","","2.93069","785","5940","","50310","","73280731","849.009","","","","","","","51325","81","4","","51054","0","","results_container_new","","50983","minimize",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.1883718613535","","570","","","1596","365","278802","326059","","","","946","0.123465","725","5175","0","","0.028841","17057286","1199.864858","","","","1260","360","complete","1050","","32","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.2201807908714","","1200","","","3360","755","59342","327963","","","","4702","0.190068","1505","18772","0","","0.059826","6849381","1199.790459","","","","2646","750","complete","2196","","50","0","2160","0","","results_container_new","","","minimize","0"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.2146738190204","","570","","","1596","365","351069","408893","","","","900","0.126535","725","6120","0","","0.02624","22259297","1199.865432","","","","1260","360","complete","1050","","35","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2571198726073","","615","","","1722","395","365875","417381","","","","1101","0.138694","785","7866","0","","0.029912","23673217","1199.866182","","","","1359","390","complete","1134","","25","0","1107","0","","results_container_new","","","minimize","0"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.2006012098864","","960","","","2688","605","151086","225940","","","","1768","0.161759","1205","7560","0","","0.041286","10403006","1199.836229","","","","2118","600","complete","1758","","30","0","1728","0","","results_container_new","","","minimize","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1202.342147231102","","20860","","","1344","","6924","","","","","","7.01885","1205","12635","","119400","","28503660","194.102","","","","","","","120965","180","2","","120552","0","","results_container_new","","119723","minimize",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.2435762481764","","960","","","2688","605","97683","139138","","","","1299","0.175129","1205","7695","0","","0.040571","7445777","1199.796533","","","","2118","600","complete","1758","","22","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.2904622079805","","465","","","1302","305","413163","469838","","","","824","0.131467","605","3400","0","","0.022054","24585324","1199.855378","","","","1029","300","complete","864","","40","0","837","0","","results_container_new","","","minimize","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1203.2702752156183","","32335","","","1694","","2263","","","","","","11.3719","1505","15120","","186750","","16597943","124.535","","","","","","","188715","225","2","","188202","0","","results_container_new","","188503","minimize",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","UNKNOWN","1204.2654647575691","","31125","","","","","","","","","","","10.8857","1505","","","186750","","","","","","","","","","187747","","0","","186750","0","","results_container_new","","","minimize",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.769876821898","","5420","","","658","","12935","","","","","","1.72094","605","5445","","29700","","14018301","91.3064","","","","","","","30475","150","5","","30264","0","","results_container_new","","30865","minimize",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.6496560359374","","20860","","","2688","605","1086952","3834732","","","","38445","6.50706","1205","6750","0","119378","1.449851","1963883925","1192.162769","","","","121495","600","complete","121135","","33","0","121106","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.1798975206912","","570","","","1596","365","287763","329926","","","","743","0.122824","725","5016","0","","0.026806","19192629","1199.878354","","","","1260","360","complete","1050","","24","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.3285591062158","","470","","","1316","305","472083","526407","","","","776","0.120335","605","5104","0","","0.023674","29153543","1199.875046","","","","1040","300","complete","870","","36","0","846","0","","results_container_new","","","minimize","0"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","UNKNOWN","1200.9783356096596","","4950","","","","","1305851","","","0","2611843","248","1.68146","605","","","29700","0.269279","1486046208","1198.32","30305","","","35049","","","30099","","0","","29700","0","","results_container_new","","","minimize","0"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.2191145336255","","960","","","2688","605","84907","259222","","","","4579","0.161981","1205","13419","0","","0.042643","5373426","1199.853594","","","","2118","600","complete","1758","","41","0","1728","0","","results_container_new","","","minimize","0"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.8152056280524","-189350259","9000","473.841","1.41","51171","","1775765","","1775765","","3042047","862","2.87232","1169","9180","","","0.684","7345065913","1197.125","124023","1169","1234685","102897","","","51704","","50","","51048","0","0.0","results_container_new","0.0","122852","minimize","50"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.2545395139605","","570","","","1596","365","322992","374185","","","","637","0.139721","725","5474","0","","0.026197","21488265","1199.85109","","","","1260","360","complete","1050","","37","0","1026","0","","results_container_new","","","minimize","0"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1204.300901407376","","32325","","","188408","","","","","","","","10.9237","2249","73206","","","","","","","","","","","","189427","","9","","188168","0","","results_container_new","","","minimize",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.2452057497576","","470","","","1316","305","520247","576180","","","","984","0.118196","605","4998","0","","0.023346","20499967","1199.893406","","","","1040","300","complete","870","","44","0","846","0","","results_container_new","","","minimize","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.966454334557","","7710","","","810","","247","","","","","","2.48835","725","7410","","42828","","908925","10.3164","","","","","","","43775","150","1","","43524","0","","results_container_new","","42740","minimize",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.230850229971","","960","","","2688","605","79784","135294","","","","1845","0.158712","1205","7344","0","","0.041703","4664749","1199.864782","","","","2118","600","complete","1758","","29","0","1728","0","","results_container_new","","","minimize","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.7678298261017","","5415","","","651","","160717","","","","","","1.78181","605","6000","","29666","","229945730","933.218","","","","","","","30436","180","9","","30224","0","","results_container_new","","32044","minimize",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.0413828985766","","7710","","","803","","523","","","","","","2.41726","725","9216","","42835","","4039105","19.8905","","","","","","","43775","180","2","","43524","0","","results_container_new","","43066","minimize",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.2151442319155","","570","","","1596","365","290345","346448","","","","878","0.126834","725","5040","0","","0.02553","13467825","1199.895682","","","","1260","360","complete","1050","","43","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.17611751426","","470","","","1316","305","420996","479177","","","","869","0.117384","605","5060","0","","0.022735","26059393","1199.881115","","","","1040","300","complete","870","","45","0","846","0","","results_container_new","","","minimize","0"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.4037809185684","","1210","","","3388","755","46080","231274","","","","4408","0.179437","1505","17400","0","","0.0567","3359781","1199.939355","","","","2668","750","complete","2208","","37","0","2178","0","","results_container_new","","","minimize","0"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.2931363368407","","465","","","1302","305","324950","367320","","","","595","0.141003","605","3971","0","","0.024602","22200551","1199.856286","","","","1029","300","complete","864","","33","0","837","0","","results_container_new","","","minimize","0"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.3680069092661","","960","","","2688","605","88195","133157","","","","1478","0.162965","1205","7866","0","","0.040854","7194872","1199.872758","","","","2118","600","complete","1758","","22","0","1728","0","","results_container_new","","","minimize","0"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","UNKNOWN","1201.4518393613398","","8385","","","","","955457","","","0","1911137","273","2.87115","785","","","50310","0.461511","1661152046","1197.13","51095","","","59214","","","50829","","0","","50310","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2313346872106","","615","","","1722","395","369502","435101","","","","886","0.128227","785","7560","0","","0.029548","21999815","1199.865419","","","","1359","390","complete","1134","","47","0","1107","0","","results_container_new","","","minimize","0"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.199091596529","","620","","","1736","395","272405","333038","","","","2103","0.127674","785","4788","0","","0.02773","11761206","1199.885209","","","","1370","390","complete","1140","","39","0","1116","0","","results_container_new","","","minimize","0"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.7735417066142","","5415","","","1302","305","2365809","3870545","","","","35732","1.69608","605","3640","0","29666","0.359692","1861092696","1197.969024","","","","30694","300","complete","30529","","13","0","30503","0","","results_container_new","","","minimize","0"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.6774188000709","","5415","","","1302","305","2170417","4108276","","","","10221","1.67074","605","3230","0","29700","0.34493","1723078051","1198.007935","","","","30728","300","complete","30563","","39","0","30537","0","","results_container_new","","","minimize","0"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1201.23204515595","1088558136","5415","1125.804","0.63","30351","","2143671","","2143671","","3616118","633","1.7524","899","4032","","","0.407","4362569597","1198.244","82756","899","1446783","61137","","","30764","","53","","30258","0","0.0","results_container_new","0.0","81855","minimize","53"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.0785384196788","","9000","","","861","","329","","","","","","3.06409","785","9918","","50310","","4425545","21.3213","","","","","","","51320","180","2","","51048","0","","results_container_new","","50379","minimize",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1202.2099004825577","","20860","","","1366","","438","","","","","","6.9911","1205","8645","","119378","","2126830","52.1588","","","","","","","120965","144","1","","120552","0","","results_container_new","","119462","minimize",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.2637820737436","","960","","","2688","605","98303","145187","","","","1479","0.171098","1205","12168","0","","0.040918","7808347","1199.879612","","","","2118","600","complete","1758","","25","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1778012737632","","570","","","1596","365","379353","440951","","","","797","0.132127","725","6300","0","","0.026271","21531932","1199.86119","","","","1260","360","complete","1050","","32","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.2660106858239","","470","","","1316","305","399657","448310","","","","869","0.120568","605","5225","0","","0.023621","24061518","1199.864988","","","","1040","300","complete","870","","34","0","846","0","","results_container_new","","","minimize","0"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1201.54944930505","-1372543787","7710","1187.758","0.94","43638","","1962937","","1962937","","3246389","715","2.52554","1079","5850","","","0.57","6586899576","1197.471","102550","1079","1263353","87786","","","44129","","37","","43524","0","0.0","results_container_new","0.0","101469","minimize","37"
