"configuration","problem","model","data_file","status","time","peakDepth","method","propagators","optTime","failures","solveTime","flatIntConstraints","propagations","error","userDecisions","boolVariables","nogoods","flatIntVars","restarts","peakMem","flatBoolConstraints","blockType","initTime","nodes","nSolutions","unifiedVariables","evaluatedHalfReifiedConstraints","evaluatedReifiedConstraints","paths","flatTime","baseMem","variables","objectiveBound","eliminatedImplications","run","flatBoolVars","backjumps","intVars","intVariables","solutions","oracleDecisions","extractedViews","objective","randomSeed","trailMem"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","UNKNOWN","1205.2280508931726","","minimize","","","","","157909","","","","","","6100","","","29500","","","","0","","147000","7000","0","12.4754","","","","1000","results_prod_shelf","155000","","","","","","","","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","757.4731307607144","1298163","minimize","1553094","","43227","554.149829","1564095","2010300445","","0","","","30200","0","","296500","complete","25.719921","","6","0","1485000","102200","0","132.668","","","","5000","results_prod_shelf","1568200","","","30197","","17999936","35000","S(30)","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","38.64428456872702","277101","minimize","160043","","3681","19.300942","162544","70514002","","0","","","6100","0","","34000","complete","2.36734","","1","0","147000","19600","0","12.4809","","","","1000","results_prod_shelf","163100","","","6097","","1092473","7000","S(15)","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","3.270913064479828","36599","minimize","21240","","2146","0.538686","21891","2495299","","0","","","1550","0","","5350","complete","0.308797","","5","0","18000","4830","0","1.59851","","","","250","results_prod_shelf","21980","","","1547","","210091","1750","S(6)","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","OPTIMAL_SOLUTION","802.6477352809161","1423128","minimize","1549788","","65815","586.616388","1562289","2504326254","","0","","","30200","0","","295000","complete","26.509863","","6","0","1485000","98000","0","143.852","","","","5000","results_prod_shelf","1565500","","","30197","","25369752","35000","S(11)","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","4.560781264677644","35481","minimize","21018","","5066","1.774374","21769","8179523","","0","","","1550","0","","5250","complete","0.333372","","2","0","18000","4550","0","1.70703","","","","250","results_prod_shelf","21800","","","1547","","322476","1750","S(9)","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1242.7303995471448","33279","minimize","1553094","","22265","1035.739819","1564095","4287219682","","0","","","30200","0","","296500","complete","28.77028","","0","0","1485000","102200","0","135.486","","","","5000","results_prod_shelf","1568200","","","30197","","20744286","35000","","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","213.784203318879","428717","minimize","530561","","110593","141.342604","535362","421328783","","0","","","13650","0","","105450","complete","9.144014","","4","0","499500","46410","0","47.312","","","","2250","results_prod_shelf","537210","","","13647","","3537475","15750","S(13)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","65.02933806926012","7554","minimize","304291","44.957","10640","45.115","161090","200299797","","","631479","10640","6099","15","0.0","33500","","2.973","760396","15","","","159600","0","12.7018","0.0","637580","","1000","results_prod_shelf","159800","648292","6099","","","","","6","-698263591","0.63"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","ERROR","227.5740520078689","","minimize","","","","","1539954","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","30200","","","272500","","","","0","","1485000","35000","0","141.503","","","","5000","results_prod_shelf","1525000","","","","","","","","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","UNKNOWN","1242.8813485410064","2947058","minimize","1553094","","116980","1036.035694","1564095","1063003032","","0","","","30200","10","","296500","complete","27.070203","","0","0","1485000","102200","0","136.889","","","","5000","results_prod_shelf","1568200","","","30197","","283948691","35000","","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1230.9841287471354","","minimize","","","","","1557789","","","","","","30200","","","295000","","","","0","","1485000","66500","0","136.287","","","","5000","results_prod_shelf","1552000","","","","","","","","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","189.48316053301096","972129","minimize","527913","","22521","115.436476","533914","525280654","","0","","","13650","0","","104250","complete","9.026685","","5","0","499500","43050","0","49.5858","","","","2250","results_prod_shelf","535050","","","13647","","8831791","15750","S(8)","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","UNKNOWN","1204.5818973835558","","minimize","","","","","158004","","","","","","6100","","","29500","","","","0","","147000","7000","0","13.5059","","","","1000","results_prod_shelf","155000","","","","","","","","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","3.9359900448471308","36575","minimize","20907","","2255","1.30936","21708","8619056","","0","","","1550","0","","5200","complete","0.299511","","1","0","18000","4410","0","1.59477","","","","250","results_prod_shelf","21710","","","1547","","265160","1750","S(10)","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","822.1426093820482","1192662","minimize","1554196","","275423","612.975095","1564697","1753316488","","0","","","30200","0","","297000","complete","26.294573","","7","0","1485000","103600","0","136.783","","","","5000","results_prod_shelf","1569100","","","30197","","14637910","35000","S(17)","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","UNKNOWN","1200.7206092476845","394","minimize","24265","","3042499","1198.49","20772","2156940418","","","","","1550","0","","4250","","0.190387","6085356","0","","18000","1750","0","1.51573","","21550","","250","results_prod_shelf","20000","","","","0","","","","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","UNKNOWN","1200.6907602250576","488","minimize","23367","","1235818","1198.44","20745","1824093910","","","","","1550","0","","4250","","0.19875","2472107","0","","18000","1750","0","1.55861","","21550","","250","results_prod_shelf","20000","","","","0","","","","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","OPTIMAL_SOLUTION","793.4264567233622","1423128","minimize","1549788","","65815","585.626426","1562289","2504326254","","0","","","30200","0","","295000","complete","26.970144","","6","0","1485000","98000","0","136.097","","","","5000","results_prod_shelf","1565500","","","30197","","25369752","35000","S(11)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","3.1250100191682577","1278","minimize","38505","0.535","1948","0.727","21494","5812172","","","59579","1948","1549","1","0.0","5200","","0.327","40620","1","","","21080","0","1.53871","0.0","61130","","250","results_prod_shelf","21140","37417","1549","","","","","10","-1867595219","0.12"
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","2.903337163850665","36780","minimize","21240","","1566","0.429872","21891","2438968","","0","","","1550","0","","5350","complete","0.297647","","5","0","18000","4830","0","1.5509","","","","250","results_prod_shelf","21980","","","1547","","209217","1750","S(4)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","SATISFIED","1243.1775384321809","2931023","minimize","1552543","","140552","1038.935757","1563794","1346295795","","0","","","30200","141","","296250","complete","26.633242","","12","0","1485000","101500","0","134.431","","","","5000","results_prod_shelf","1567750","","","30197","","54495571","35000","S(39)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1212.0389104820788","","minimize","","","","","531890","","","","","","13649","","","104250","","","","13","","","528900","0","46.8737","","","","2250","results_prod_shelf","529200","","","","","","","S(18)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1244.1437183953822","2951995","minimize","1549788","","90791","1032.386878","1562289","1654514013","","0","","","30200","76","","295000","complete","26.571264","","0","0","1485000","98000","0","141.043","","","","5000","results_prod_shelf","1565500","","","30197","","29624824","35000","","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","5.261584846302867","34885","minimize","21018","","5160","2.307765","21769","11087760","","0","","","1550","111","","5250","complete","0.3297","","2","0","18000","4550","0","1.83572","","","","250","results_prod_shelf","21800","","","1547","","459907","1750","S(9)","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","ERROR","231.70936928503215","","minimize","","","","","1540003","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","30200","","","272500","","","","0","","1485000","35000","0","136.793","","","","5000","results_prod_shelf","1525000","","","","","","","","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","UNKNOWN","1230.9679681062698","","minimize","","","","","1559295","","","","","","30200","","","296500","","","","0","","1485000","68600","0","142.038","","","","5000","results_prod_shelf","1553800","","","","","","","","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","ERROR","114.58613584563136","","minimize","","","","","524341","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","13650","","","94500","","","","0","","499500","15750","0","46.8583","","","","2250","results_prod_shelf","517500","","","","","","","","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1211.0347549784929","","minimize","","","13256","788.807","531964","51515848","","","524307","","13650","","","104250","","","","1","","499500","29400","0","48.9648","","","2","2250","results_prod_shelf","529200","","","","","","","S(30)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","5.782455433160067","1079","minimize","35776","1.176","39621","3.289","20055","34107003","","","49437","39621","1487","5","0.0","5010","","0.386","94156","5","","","19710","0","1.52139","0.0","50926","","240","results_prod_shelf","19740","49518","1487","","","","","5","1047320969","0.12"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","550.124883512035","","minimize","","","19999","529.304","161644","72074710","","","160621","","6100","","","34000","","","","13","","147000","13300","0","14.0612","","","8","1000","results_prod_shelf","160400","","","","","","","8","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","257.91620654799044","996122","minimize","529899","","44846","187.247095","535000","456923623","","0","","","13650","112","","105150","complete","9.375948","","5","0","499500","45570","0","45.9566","","","","2250","results_prod_shelf","536670","","","13647","","41794501","15750","S(20)","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","UNKNOWN","1200.679536221549","573","minimize","24265","","1244429","1198.54","20772","2040045086","","","","","1550","0","","4250","","0.194492","2489409","0","","18000","1750","0","1.46541","","21550","","250","results_prod_shelf","20000","","","","0","","","","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","4.7002027947455645","33729","minimize","19657","","12518","1.277618","20288","3921259","","0","","","1488","0","","5010","complete","0.323863","","4","0","16560","4620","0","1.48016","","","","240","results_prod_shelf","20370","","","1485","","184356","1680","S(5)","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","32.886960031464696","290000","minimize","158938","","5585","12.579791","161939","70544125","","0","","","6100","0","","33500","complete","2.433849","","3","0","147000","18200","0","12.6467","","","","1000","results_prod_shelf","162200","","","6097","","1801355","7000","S(6)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","64.38607356697321","3144","minimize","305739","45.34","8621","45.409","161898","192092258","","","320439","8621","6099","8","0.0","34300","","2.54","333312","8","","","160720","0","13.151","0.0","326540","","1000","results_prod_shelf","160760","300835","6099","","","","","13","1325739552","0.42"
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","348.29490766860545","422753","minimize","529568","","93933","280.212233","534819","983235085","","0","","","13650","0","","105000","complete","8.601438","","3","0","499500","45150","0","45.3582","","","","2250","results_prod_shelf","536400","","","13647","","8840483","15750","S(14)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1242.777133187279","2912307","minimize","1553094","","105432","1041.135709","1564095","1716908417","","0","","","30200","76","","296500","complete","26.452251","","0","0","1485000","102200","0","132.407999","","","","5000","results_prod_shelf","1568200","","","30197","","43042767","35000","","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","218.8466936070472","285100","minimize","160264","","142239","198.914357","162665","743184627","","0","","","6100","5336","","34100","complete","2.422505","","1","0","147000","19880","0","13.1229","","","","1000","results_prod_shelf","163280","","","6097","","8326248","7000","S(20)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","124.17402277700603","5137","minimize","305196","104.325","40989","104.414","161595","430731918","","","362079","40989","6099","13","0.0","34000","","2.757","986800","13","","","160300","0","13.4593","0.0","368180","","1000","results_prod_shelf","160400","884035","6099","","","","","8","-729298229","0.63"
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","31.177232701331377","307427","minimize","158938","","5241","10.921129","161939","88920170","","0","","","6100","36","","33500","complete","2.448785","","3","0","147000","18200","0","12.5424","","","","1000","results_prod_shelf","162200","","","6097","","2149723","7000","S(6)","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","32.579885141924024","290000","minimize","158938","","5585","12.399398","161939","70544125","","0","","","6100","0","","33500","complete","2.438136","","3","0","147000","18200","0","12.5479","","","","1000","results_prod_shelf","162200","","","6097","","1801355","7000","S(6)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","4.391845114529133","888","minimize","38778","0.916","1444","1.048","21647","6169765","","","44759","1444","1549","5","0.0","5350","","0.32","27289","5","","","21290","0","1.61633","0.0","46310","","250","results_prod_shelf","21320","21563","1549","","","","","6","369576863","0.12"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","ERROR","116.91458873264492","","minimize","","","","","524254","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","13650","","","94500","","","","0","","499500","15750","0","44.2154","","","","2250","results_prod_shelf","517500","","","","","","","","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","ERROR","110.67094308324158","","minimize","","","","","524283","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","13650","","","94500","","","","0","","499500","15750","0","44.4474","","","","2250","results_prod_shelf","517500","","","","","","","","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","6.359728014096618","","minimize","","","2884","3.45215","21518","3102782","","","20649","","1550","","","5200","","","","1","","18000","3080","0","1.77307","","","10","250","results_prod_shelf","21140","","","","","","","10","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","141.70445812866092","103141","minimize","160264","","144434","121.813878","162665","453092691","","0","","","6100","0","","34100","complete","2.4299","","1","0","147000","19880","0","13.0987","","","","1000","results_prod_shelf","163280","","","6097","","4288088","7000","S(20)","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","ERROR","218.83197110705078","","minimize","","","","","1540003","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","30200","","","272500","","","","0","","1485000","35000","0","132.616","","","","5000","results_prod_shelf","1525000","","","","","","","","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","ERROR","116.2964553963393","","minimize","","","","","524109","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","13650","","","94500","","","","0","","499500","15750","0","45.6512","","","","2250","results_prod_shelf","517500","","","","","","","","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","3.00188797339797","36780","minimize","21240","","1566","0.466856","21891","2438968","","0","","","1550","0","","5350","complete","0.303095","","5","0","18000","4830","0","1.56783","","","","250","results_prod_shelf","21980","","","1547","","209217","1750","S(4)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","2.9741055089980364","35767","minimize","21240","","2203","0.463364","21891","2747171","","0","","","1550","48","","5350","complete","0.301603","","2","0","18000","4830","0","1.56628","","","","250","results_prod_shelf","21980","","","1547","","113256","1750","S(4)","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","799.8204252067953","1192662","minimize","1554196","","275423","594.530061","1564697","1753316488","","0","","","30200","0","","297000","complete","26.876763","","7","0","1485000","103600","0","133.741999","","","","5000","results_prod_shelf","1569100","","","30197","","14637910","35000","S(17)","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","UNKNOWN","1200.69828915596","471","minimize","24247","","1315409","1198.31","20754","1117833474","","","","","1550","0","","4250","","0.186281","2631266","0","","18000","1750","0","1.69249","","21550","","250","results_prod_shelf","20000","","","","0","","","","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","3.400442596524954","1181","minimize","38778","0.788","2227","0.933","21647","6639276","","","50759","2227","1549","7","0.0","5350","","0.322","40198","7","","","21290","0","1.5927","0.0","52310","","250","results_prod_shelf","21320","30385","1549","","","","","4","1702356462","0.12"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","ERROR","226.96977170929313","","minimize","","","","","1540101","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","30200","","","272500","","","","0","","1485000","35000","0","140.223","","","","5000","results_prod_shelf","1525000","","","","","","","","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","SATISFIED","1231.2174936570227","","minimize","","","","","1559196","","","","","","30199","","","296500","","","","1","","","1553600","0","136.428","","","","5000","results_prod_shelf","1553800","","","","","","","S(50)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","SATISFIED","1204.4707885719836","","minimize","","","","","161696","","","","","","6099","","","34100","","","","1","","","160440","0","14.0799","","","","1000","results_prod_shelf","160520","","","","","","","S(20)","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","UNKNOWN","1204.2038615234196","","minimize","","","","","158023","","","","","","6100","","","29500","","","","0","","147000","7000","0","12.2506","","","","1000","results_prod_shelf","155000","","","","","","","","",""
