"configuration","problem","model","data_file","status","time","flatBoolVars","run","extractedViews","flatIntVars","propagators","failures","unifiedVariables","restarts","method","oracleDecisions","flatBoolConstraints","flatIntConstraints","peakDepth","propagations","eliminatedImplications","evaluatedHalfReifiedConstraints","initTime","evaluatedReifiedConstraints","flatTime","paths","nSolutions","intVariables","userDecisions","blockType","solveTime"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.7451856429689","39570","results_rect_seperate+merge","41250","14529","785","3950075","0","0","satisfy","0","12750","41991","18","185681467","60","120","0.393633","26880","1.35782","0","0","153","3953292","complete","1198.244956"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","4.126709918025881","8636","results_rect_seperate+merge","9214","3383","362","25260","0","0","satisfy","0","2754","9555","18","1037783","34","68","0.091265","5916","0.408951","0","1","79","25336","complete","3.031247"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","2.162657078821212","20856","results_rect_seperate+merge","21912","7827","561","1412","0","0","satisfy","8512","6696","22441","6765","146436","48","96","0.214902","14208","0.794379","0","1","117","0","complete","0.369156"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","2.988174199126661","28652","results_rect_seperate+merge","30004","10643","670","2729","0","0","satisfy","9343","9204","30636","6481","782553","52","104","0.293641","19500","1.02492","0","1","133","0","complete","0.978365"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.8367750947364","22896","results_rect_seperate+merge","24048","8575","596","4603099","0","0","satisfy","0","7344","24610","16","160610458","48","96","0.229869","15600","0.866135","0","0","121","4606712","complete","1198.900871"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","75.89379493519664","15498","results_rect_seperate+merge","16380","5905","488","402377","0","0","satisfy","0","4956","16839","20","17998046","42","84","0.145666","10584","0.566357","0","1","103","403031","complete","74.827537"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.979001940228","32452","results_rect_seperate+merge","33908","11991","707","3493247","0","0","satisfy","0","10444","34575","16","147030149","56","112","0.333857","22064","1.19238","0","0","141","3495495","complete","1198.470466"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","56.482724586036056","39570","results_rect_seperate+merge","41250","14529","785","212310","0","2945","satisfy","108529","12750","41991","2422","13089439","60","120","0.390678","26880","1.36291","0","1","153","142158","complete","54.010877"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.337574369739741","12420","results_rect_seperate+merge","13140","4759","430","1316","0","0","satisfy","5617","3980","13545","4077","128834","40","80","0.128576","8480","0.507314","0","1","93","0","complete","0.274737"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","3.310402601957321","35168","results_rect_seperate+merge","36736","12975","746","2633","0","0","satisfy","10839","11312","37440","8114","792393","56","112","0.362649","23912","1.21779","0","1","145","0","complete","1.076912"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","2.0075479820370674","23875","results_rect_seperate+merge","25025","8904","602","1617","0","0","satisfy","9700","7675","25593","7760","223393","50","100","0.227475","16250","0.786006","0","1","123","0","complete","0.501805"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7512196782045066","6592","results_rect_seperate+merge","7040","2603","311","1280","0","0","satisfy","2080","2112","7334","2094","73675","32","64","0.071504","4512","0.295814","0","1","69","1293","complete","0.14332"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","2.227875243872404","25175","results_rect_seperate+merge","26425","9408","626","1573","0","0","satisfy","11071","8075","27015","8156","211434","50","100","0.238777","17150","0.931401","0","1","127","0","complete","0.524515"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","2.7620272850617766","31266","results_rect_seperate+merge","32724","11593","701","1736","0","0","satisfy","18829","10044","33385","10160","756213","54","108","0.324424","21276","1.09772","0","1","139","0","complete","0.721331"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.564565306995","28652","results_rect_seperate+merge","30004","10643","670","3872032","0","0","satisfy","0","9204","30636","19","159388824","52","104","0.295923","19500","1.02406","0","0","133","3881048","complete","1198.678156"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","81.03133097523823","16258","results_rect_seperate+merge","17138","6161","494","402268","0","0","satisfy","0","5214","17603","22","18109880","44","88","0.165185","11088","0.58854","0","1","105","402983","complete","79.911858"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","28.67429855512455","17996","results_rect_seperate+merge","18964","6803","526","143161","0","6759","satisfy","91448","5764","19460","189","8794687","44","88","0.169727","12276","0.649474","0","1","109","115181","complete","27.472797"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","7.978438508696854","28652","results_rect_seperate+merge","30004","10643","670","20043","0","65","satisfy","7557","9204","30636","2526","1550993","52","104","0.293817","19500","1.02583","0","1","133","15682","complete","6.090071"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","5.387945652939379","22896","results_rect_seperate+merge","24048","8575","596","14124","0","441","satisfy","9947","7344","24610","724","1112464","48","96","0.233139","15600","0.87552","0","1","121","10640","complete","3.469697"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.6219912637025118","14532","results_rect_seperate+merge","15330","5523","466","2818","0","1","satisfy","542","4662","15769","68","158466","42","84","0.146794","9912","0.569608","0","1","99","2450","complete","0.453937"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","2.345831931103021","26208","results_rect_seperate+merge","27456","9755","632","1530","0","0","satisfy","11637","8424","28052","8519","209747","52","104","0.268507","17836","0.956532","0","1","129","0","complete","0.606811"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.9327770862728357","10368","results_rect_seperate+merge","11016","4015","397","14228","0","307","satisfy","5243","3312","11390","74","731811","36","72","0.10809","7092","0.439308","0","1","85","10356","complete","1.976175"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","4.119190590921789","10368","results_rect_seperate+merge","11016","4015","397","22822","0","0","satisfy","0","3312","11390","19","1039586","36","72","0.108086","7092","0.444552","0","1","85","22895","complete","3.15641"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","61.4928999170661","38222","results_rect_seperate+merge","39904","14077","779","213939","0","2821","satisfy","102491","12296","40639","1814","13543128","58","116","0.393054","25984","1.31714","0","1","151","147352","complete","59.061634"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","0.9432769878767431","9162","results_rect_seperate+merge","9738","3561","368","1428","0","0","satisfy","4544","2934","10085","2964","114992","36","72","0.086243","6264","0.360495","0","1","81","0","complete","0.228161"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","5.296203277073801","12420","results_rect_seperate+merge","13140","4759","430","25858","0","0","satisfy","0","3980","13545","21","1349898","40","80","0.128388","8480","0.507559","0","1","93","25959","complete","4.230872"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","1.6364136068150401","17996","results_rect_seperate+merge","18964","6803","526","1485","0","0","satisfy","7599","5764","19460","5842","152754","44","88","0.169046","12276","0.637076","0","1","109","0","complete","0.367511"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","1.7905229460448027","19964","results_rect_seperate+merge","21022","7527","555","1412","0","0","satisfy","8211","6394","21545","6464","145663","46","92","0.197357","13616","0.725162","0","1","115","0","complete","0.367962"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","23.883467642590404","13820","results_rect_seperate+merge","14620","5283","460","144706","0","0","satisfy","0","4420","15053","21","6447309","40","80","0.132951","9440","0.530487","0","1","97","144986","complete","22.894778"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","8.881941911298782","15498","results_rect_seperate+merge","16380","5905","488","44064","0","1261","satisfy","23373","4956","16839","510","2591472","42","84","0.144862","10584","0.563532","0","1","103","31448","complete","7.839741"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.9093242529779673","10963","results_rect_seperate+merge","11609","4216","403","14683","0","319","satisfy","5835","3515","11989","122","780313","38","76","0.106943","7486","0.423638","0","1","87","10357","complete","2.076322"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","4.694719155319035","17996","results_rect_seperate+merge","18964","6803","526","16891","0","383","satisfy","10243","5764","19460","953","1302773","44","88","0.168189","12276","0.635334","0","1","109","10827","complete","3.426749"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.9286578479222953","8007","results_rect_seperate+merge","8517","3124","343","1498","0","89","satisfy","3223","2567","8841","2644","85525","34","68","0.081964","5474","0.34295","0","1","75","1156","complete","0.162147"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.6618964988738","35168","results_rect_seperate+merge","36736","12975","746","3915354","0","0","satisfy","0","11312","37440","18","170604638","56","112","0.363641","23912","1.21302","0","0","145","3921376","complete","1198.420786"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","739.3264127359726","17996","results_rect_seperate+merge","18964","6803","526","3386142","0","0","satisfy","0","5764","19460","21","120135728","44","88","0.168743","12276","0.639092","0","1","109","3390405","complete","738.047001"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.89761834172532","11780","results_rect_seperate+merge","12502","4543","424","25229","0","0","satisfy","0","3762","12901","20","1290791","38","76","0.122237","8056","0.500304","0","1","91","25324","complete","3.861559"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","1.1066504940390587","10963","results_rect_seperate+merge","11609","4216","403","1377","0","0","satisfy","5092","3515","11989","3540","128604","38","76","0.106208","7486","0.424845","0","1","87","0","complete","0.264822"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","UNKNOWN","1200.7726766909473","36453","results_rect_seperate+merge","38019","13406","752","3868838","0","0","satisfy","0","11745","38729","19","168807376","58","116","0.373847","24766","1.35018","0","0","147","3874837","complete","1198.273471"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","1.4255752726458013","16258","results_rect_seperate+merge","17138","6161","494","1180","0","0","satisfy","6685","5214","17603","5232","99398","44","88","0.163875","11088","0.600631","0","1","105","0","complete","0.229062"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","7.456803979817778","16258","results_rect_seperate+merge","17138","6161","494","33736","0","1101","satisfy","18915","5214","17603","486","2072522","44","88","0.170544","11088","0.580302","0","1","105","24522","complete","6.349984"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.5713743269444","29781","results_rect_seperate+merge","31131","11022","676","3836022","0","0","satisfy","0","9585","31769","19","159091462","54","108","0.305729","20250","1.042659","0","0","135","3844961","complete","1198.648163"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.6243127188645","31266","results_rect_seperate+merge","32724","11593","701","3561599","0","0","satisfy","0","10044","33385","16","148593114","54","108","0.321951","21276","1.11028","0","0","139","3563771","complete","1198.564474"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","4.5490976851433516","18837","results_rect_seperate+merge","19803","7086","532","17852","0","355","satisfy","9886","6049","20305","744","1125450","46","92","0.1889","12834","0.745954","0","1","111","11242","complete","3.176645"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","18.233954207971692","26208","results_rect_seperate+merge","27456","9755","632","73788","0","552","satisfy","30533","8424","28052","1700","4324379","52","104","0.267067","17836","0.950357","0","1","129","50853","complete","16.4989"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.7804278708063066","7520","results_rect_seperate+merge","8032","2959","337","1370","0","0","satisfy","2368","2400","8350","2381","70071","32","64","0.080875","5152","0.320179","0","1","73","1382","complete","0.140032"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","45.12102324422449","19964","results_rect_seperate+merge","21022","7527","555","195762","0","5563","satisfy","113781","6394","21545","435","11653936","46","92","0.1972","13616","0.716961","0","1","115","148526","complete","43.692309"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","1.2680740780197084","15498","results_rect_seperate+merge","16380","5905","488","1180","0","0","satisfy","6427","4956","16839","4974","98752","42","84","0.145871","10584","0.564114","0","1","103","0","complete","0.212061"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.6408146256580949","12420","results_rect_seperate+merge","13140","4759","430","3781","0","39","satisfy","1412","3980","13545","59","222420","40","80","0.128542","8480","0.51046","0","1","93","2723","complete","0.587708"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","759.3317451351322","35168","results_rect_seperate+merge","36736","12975","746","2352954","0","78638","satisfy","1336427","11312","37440","2184","159274257","56","112","0.364941","23912","1.2193","0","1","145","1887968","complete","757.067402"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.5074604861438","23875","results_rect_seperate+merge","25025","8904","602","4717070","0","0","satisfy","0","7675","25593","16","164920967","50","100","0.231043","16250","0.78834","0","0","123","4720837","complete","1198.977495"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","2.920326943974942","29781","results_rect_seperate+merge","31131","11022","676","2494","0","0","satisfy","19071","9585","31769","9835","735300","54","108","0.308879","20250","1.06277","0","1","135","0","complete","0.871378"
