"configuration","problem","model","data_file","status","time","nogoods","flatTime","propagations","paths","variables","propagators","flatBoolConstraints","trailMem","flatBoolVars","solutions","evaluatedHalfReifiedConstraints","extractedViews","restarts","backjumps","eliminatedImplications","unifiedVariables","nodes","blockType","run","nSolutions","randomSeed","objective","evaluatedReifiedConstraints","peakMem","oracleDecisions","objectiveBound","flatIntConstraints","baseMem","flatIntVars","boolVariables","intVars","peakDepth","userDecisions","solveTime","optTime","intVariables","method","failures","initTime"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.7482231091707945","22672","0.116364","8418511","0","9324","1313","272","0.02","714","","68","","0","680","34","","23374","","results_all","1","175567818","","612","0.0","","","744","0.0","85","9219","103","21","","1.402","","","satisfy","22672","0.02"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.2387106511742","7383916","0.137243","4915251096","0","29784","3399","602","0.05","1792","","112","","0","206421","56","","7590349","","results_all","0","173434916","","1624","0.0","","","1842","0.0","147","29606","176","16","","1199.86","","","satisfy","7383916","0.047"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.2501450423151","7107520","0.144797","3771518334","0","26022","2947","533","0.05","1560","","104","","0","338286","52","","7445816","","results_all","0","-1966207066","","1404","0.0","","","1606","0.0","135","25858","162","17","","1199.852","","","satisfy","7107520","0.041"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","42.92118087224662","","0.094795","43906128","0","267","359","120","","160","1","160","","0","","80","","2772093","","results_all","1","","","","","","","237","","103","","","51","","42.6703","","","satisfy","1386014","0.002067"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","5.091218780726194","","0.094478","5502465","0","239","323","108","","144","1","144","","0","","72","","347151","","results_all","1","","","","","","","213","","91","","","47","","4.86144","","","satisfy","173558","0.002025"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","189.74421492777765","","1.18458","152328108","0","","2166","10822","","33964","","1624","33908","17607","","56","0","","complete","results_all","1","","","22064","","445842","","36086","","11991","","","1917","490337","187.440587","","141","satisfy","662980","0.355942"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.712981894612312","","0.546673","4736890","0","","1151","4170","","13180","","840","13140","0","","40","0","","complete","results_all","1","","","8480","","70","","14304","","4759","","","91","25380","3.636088","","93","satisfy","25273","0.140739"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.1577276103199","","0.102663","1113121681","0","401","537","180","","240","0","240","","0","","120","","51322938","","results_all","0","","","","","","","355","","159","","","61","","1199.9","","","satisfy","25661464","0.002917"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp09_false.dzn","SATISFIED","0.22792337089776993","","0.084871","4480","0","95","139","46","","62","1","62","","0","","31","","68","","results_all","1","","","","","","","91","","31","","","14","","0.004118","","","satisfy","28","0.001089"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp07_false.dzn","SATISFIED","0.23903589695692062","","0.081582","1110","0","","","30","","42","","42","","","","21","","","","results_all","1","","0","","","","0","63","","19","46","","","","0.008145","","","satisfy","14",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.4755492769181728","","0.580302","369294","0","","1265","4872","","15372","","924","15330","0","","42","0","","complete","results_all","1","","","9912","","7411","","16608","","5523","","","5654","0","0.273928","","99","satisfy","1525","0.168109"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.2218047082424","7044154","0.12909","3803901465","0","28214","2951","533","0.05","1560","","104","","0","411437","52","","7455603","","results_all","0","-1427425080","","1404","0.0","","","1608","0.0","139","28046","166","19","","1199.868","","","satisfy","7044154","0.044"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","40.902774680405855","","0.105936","51523272","0","","","126","","168","","168","","","","84","","","","results_all","1","","0","","","","0","249","","109","435","","","","40.6513","","","satisfy","620301",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp07_true.dzn","SATISFIED","0.211969381198287","15","0.083597","8909","0","831","243","68","0.0","145","","25","","0","0","14","","29","","results_all","1","-1577740497","","109","0.0","","","156","0.0","21","801","28","13","","0.003","","","satisfy","15","0.003"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","2.0290441010147333","","0.098562","2201001","0","","","108","","144","","144","","","","72","","","","results_all","1","","0","","","","0","211","","87","270","","","","1.77746","","","satisfy","32983",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.360525069758296","1182","0.110008","545203","0","8498","1309","272","0.02","714","","68","","0","38","34","","1236","","results_all","1","-1860249744","","612","0.0","","","742","0.0","81","8397","99","15","","0.059","","","satisfy","1182","0.015"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","UNKNOWN","1200.1373646259308","","0.093819","822100985","0","387","519","174","","232","0","232","","0","","116","","54444276","","results_all","0","","","","","","","343","","153","","","60","","1199.9","","","satisfy","27222130","0.002785"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","5.447820154950023","","1.25303","3776897","0","","2203","11690","","36680","","1624","36736","0","","56","0","","complete","results_all","1","","","23912","","18089","","38951","","12975","","","8114","0","3.024625","","145","satisfy","7777","0.382482"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","12.572817197069526","","0.089338","15942264","0","","","126","","168","","168","","","","84","","","","results_all","1","","0","","","","0","247","","105","345","","","","12.3511","","","satisfy","209023",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","2.013861656188965","","0.098979","2201001","0","","","108","","144","","144","","","","72","","","","results_all","1","","0","","","","0","211","","87","270","","","","1.77388","","","satisfy","32983",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","23.090759539976716","","0.540836","22938853","0","","1179","4610","","14580","","840","14620","0","","40","0","","complete","results_all","1","","","9440","","92","","15812","","5283","","","114","145417","22.063372","","97","satisfy","145123","0.149249"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8109238035976887","","0.330587","278521","0","","782","2520","","8000","","544","8032","92","","32","0","","complete","results_all","1","","","5152","","3500","","8829","","2959","","","2915","1260","0.149328","","73","satisfy","1575","0.083598"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","2.268382867798209","","0.405051","1819716","0","","944","3087","","9774","","684","9738","333","","36","0","","complete","results_all","1","","","6264","","5666","","10696","","3561","","","237","8677","1.36385","","81","satisfy","12181","0.10683"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp09_true.dzn","SATISFIED","0.4084863271564245","","0.134348","6932","0","","260","484","","1511","","179","1494","0","","17","0","","complete","results_all","1","","","936","","651","","1771","","591","","","623","0","0.00556","","27","satisfy","29","0.022689"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.1474637314677","","0.089904","857162843","0","379","503","168","","224","0","224","","0","","112","","58514923","","results_all","0","","","","","","","333","","151","","","60","","1199.91","","","satisfy","29257452","0.002752"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.7888161819428205","","0.334774","223624","0","","782","2520","","8000","","544","8032","0","","32","0","","complete","results_all","1","","","5152","","2902","","8829","","2959","","","2915","1390","0.128726","","73","satisfy","1378","0.084537"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","48.44381686672568","374587","0.124635","170466648","0","16026","1961","378","0.04","1050","","84","","0","16558","42","","391168","","results_all","1","395620978","","924","0.0","","","1088","0.0","109","15893","131","22","","48.127","","","satisfy","374587","0.026"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.2982535082847","","0.093539","","0","","","150","","200","","200","","","","100","","","","results_all","0","","","","","","","297","","133","","","","","","","","satisfy","",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","16.73969952017069","","0.768084","16399991","0","","1407","5995","","18920","","1012","18964","2247","","44","0","","complete","results_all","1","","","12276","","52910","","20383","","6803","","","953","50045","15.332554","","109","satisfy","82188","0.197666"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp08_false.dzn","SATISFIED","0.31338646449148655","","0.120206","2578","0","","173","292","","916","","111","931","0","","13","0","","complete","results_all","1","","","574","","385","","1121","","382","","","370","0","0.003877","","21","satisfy","11","0.01452"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","1.169246455654502","","0.459985","291691","0","","1049","3686","","11647","","760","11609","0","","38","0","","complete","results_all","1","","","7486","","6004","","12672","","4216","","","4375","0","0.185146","","87","satisfy","1403","0.125703"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.2215213812887669","","0.510916","283278","0","","1151","4170","","13180","","840","13140","0","","40","0","","complete","results_all","1","","","8480","","6478","","14304","","4759","","","4940","0","0.176795","","93","satisfy","1320","0.140546"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","4.188634870573878","","1.19214","2093426","0","","2166","10822","","33964","","1624","33908","0","","56","0","","complete","results_all","1","","","22064","","12337","","36086","","11991","","","7385","0","1.498342","","141","satisfy","4319","0.354417"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","445.7570387646556","3185175","0.120975","1416483095","0","18264","2143","407","0.05","1144","","88","","0","135910","44","","3321103","","results_all","1","825776299","","1012","0.0","","","1184","0.0","115","18124","138","21","","445.346","","","satisfy","3185175","0.03"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp07_true.dzn","SATISFIED","0.31808912940323353","","0.104655","2793","0","","159","253","","781","","109","770","0","","11","0","","complete","results_all","1","","","476","","310","","947","","315","","","320","30","0.003765","","19","satisfy","21","0.014863"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.837728684768","","1.53592","828500737","0","","2468","13185","","41310","","1860","41250","0","","60","0","","complete","results_all","0","","","26880","","0","","43730","","14529","","","18","4408884","1198.034755","","153","satisfy","4405395","0.427519"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp07_true.dzn","SATISFIED","0.20732437074184418","","0.080826","1939","0","71","111","36","","50","1","50","","0","","25","","51","","results_all","1","","","","","","","73","","21","","","17","","0.007856","","","satisfy","17","0.000829"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.2092738002539","","0.095603","670388063","0","337","449","150","","200","0","200","","0","","100","","60881982","","results_all","0","","","","","","","297","","133","","","54","","1199.9","","","satisfy","30440890","0.009193"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","11.320874417200685","","1.06122","10270100","0","","1777","8375","","26375","","1300","26425","745","","50","0","","complete","results_all","1","","","17150","","22205","","28214","","9408","","","469","33920","9.441133","","127","satisfy","49162","0.281597"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","2.1471598483622074","","0.384032","1819716","0","","944","3087","","9774","","684","9738","333","","36","0","","complete","results_all","1","","","6264","","5666","","10696","","3561","","","237","8677","1.339501","","81","satisfy","12181","0.103703"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","40.67854407057166","","0.110673","51523272","0","","","126","","168","","168","","","","84","","","","results_all","1","","0","","","","0","249","","109","435","","","","40.4076","","","satisfy","620301",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","51.196904718875885","","1.30574","49866934","0","","2321","12151","","38077","","1740","38019","4237","","58","0","","complete","results_all","1","","","24766","","118675","","40352","","13406","","","3292","144409","48.78759","","147","satisfy","209179","0.396138"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.4779081456363","","0.745473","674303622","0","","1522","6647","","20976","","1104","21022","0","","46","0","","complete","results_all","0","","","13616","","0","","22556","","7527","","","19","5164252","1199.040417","","115","satisfy","5160232","0.212894"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8309939429163933","","0.344397","272952","0","","852","2703","","8551","","612","8517","89","","34","0","","complete","results_all","1","","","5474","","3847","","9384","","3124","","","3263","1156","0.145211","","75","satisfy","1502","0.089007"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.3771557752043009","","0.556247","354627","0","","1179","4610","","14580","","840","14620","0","","40","0","","complete","results_all","1","","","9440","","7077","","15812","","5283","","","5320","0","0.245659","","97","satisfy","1525","0.147696"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.2332403119653","","0.091279","","0","","","162","","216","","216","","","","108","","","","results_all","0","","","","","","","321","","145","","","","","","","","satisfy","",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp08_true.dzn","SATISFIED","0.26702131144702435","","0.11077","2637","0","","207","346","","1071","","143","1056","0","","15","0","","complete","results_all","1","","","656","","424","","1280","","427","","","431","19","0.003901","","23","satisfy","13","0.01626"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","816.7963540367782","5398849","0.120806","2540067808","0","20306","2333","437","0.05","1242","","92","","0","191405","46","","5590276","","results_all","1","-1849040111","","1104","0.0","","","1284","0.0","121","20159","145","27","","816.472","","","satisfy","5398849","0.033"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp09_true.dzn","SATISFIED","0.4189246539026499","","0.141814","5929","0","","260","484","","1511","","179","1494","0","","17","0","","complete","results_all","1","","","936","","590","","1771","","591","","","600","41","0.005309","","27","satisfy","32","0.022238"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.3018199801445","6882421","0.143718","4211443075","0","32206","3403","602","0.05","1792","","112","","0","324908","56","","7207339","","results_all","0","-1792098911","","1624","0.0","","","1844","0.0","151","32024","180","20","","1199.856","","","satisfy","6882421","0.049"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","7.391309203580022","","1.06849","5482486","0","","1919","9529","","29952","","1404","30004","65","","52","0","","complete","results_all","1","","","19500","","7496","","31935","","10643","","","2526","15832","5.432386","","133","satisfy","20179","0.306852"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","1.4180793687701225","","0.653894","314854","0","","1286","5166","","16338","","924","16380","0","","42","0","","complete","results_all","1","","","10584","","7621","","17678","","5905","","","5997","0","0.202527","","103","satisfy","1352","0.165993"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","UNKNOWN","1200.1611377485096","","0.090674","889057232","0","295","395","132","","176","0","176","","0","","88","","64314270","","results_all","0","","","","","","","261","","115","","","57","","1199.91","","","satisfy","32157013","0.00442"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","68.15802756510675","","0.735722","60992200","0","","1407","5995","","18920","","1012","18964","9231","","44","0","","complete","results_all","1","","","12276","","210310","","20383","","6803","","","953","219856","66.777119","","109","satisfy","332120","0.198124"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp08_true.dzn","SATISFIED","0.2689538951963186","","0.092523","1081","0","","","46","","62","","62","","","","31","","","","results_all","1","","0","","","","0","89","","27","44","","","","0.007823","","","satisfy","6",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.129060961306","","0.092814","669909345","0","337","449","150","","200","0","200","","0","","100","","60825004","","results_all","0","","","","","","","297","","133","","","54","","1199.9","","","satisfy","30412401","0.00251"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","459.5543946623802","3185175","0.123005","1416483095","0","18264","2143","407","0.05","1144","","88","","0","135910","44","","3321103","","results_all","1","2121419427","","1012","0.0","","","1184","0.0","115","18124","138","21","","459.225","","","satisfy","3185175","0.03"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.4598262906074524","","0.54379","501355","0","","1179","4610","","14580","","840","14620","1","","40","0","","complete","results_all","1","","","9440","","755","","15812","","5283","","","224","2450","0.399973","","97","satisfy","2879","0.14572"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","432.5193950012326","","0.092107","575959965","0","","","138","","184","","184","","","","92","","","","results_all","1","","0","","","","0","271","","117","645","","","","431.941","","","satisfy","6160289",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","1.654328005388379","","0.707755","433740","0","","1501","6302","","19849","","1104","19803","0","","46","0","","complete","results_all","1","","","12834","","9262","","21316","","7086","","","7327","0","0.326245","","111","satisfy","1522","0.200822"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","2.0107768159359694","","0.103555","2218021","0","","","120","","160","","160","","","","80","","","","results_all","1","","0","","","","0","235","","99","268","","","","1.76671","","","satisfy","31990",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","UNKNOWN","1200.3361511621624","","0.094011","","0","","","174","","232","","232","","","","116","","","","results_all","0","","","","","","","343","","153","","","","","","","","satisfy","",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp09_true.dzn","SATISFIED","0.4085933454334736","","0.131602","5929","0","","260","484","","1511","","179","1494","0","","17","0","","complete","results_all","1","","","936","","590","","1771","","591","","","600","41","0.005277","","27","satisfy","32","0.022591"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp09_false.dzn","SATISFIED","0.22420392744243145","","0.084082","2259","0","","","46","","62","","62","","","","31","","","","results_all","1","","0","","","","0","91","","31","61","","","","0.015266","","","satisfy","25",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.277171721682","","0.102721","","0","","","168","","224","","224","","","","112","","","","results_all","0","","","","","","","331","","147","","","","","","","","satisfy","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp07_false.dzn","SATISFIED","0.7131242230534554","","0.111231","1585","0","63","95","30","","42","1","42","","0","","21","","47","","results_all","1","","","","","","","63","","19","","","14","","0.041323","","","satisfy","16","0.016413"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp07_true.dzn","SATISFIED","0.22955989092588425","","0.081156","1277","0","","","36","","50","","50","","","","25","","","","results_all","1","","0","","","","0","73","","21","52","","","","0.009009","","","satisfy","14",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","73.38853236660361","","0.629364","65899937","0","","1376","5445","","17182","","1012","17138","0","","44","0","","complete","results_all","1","","","11088","","134","","18526","","6161","","","157","399957","72.124234","","105","satisfy","399155","0.187921"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","3.909144340083003","","0.09932","5499248","0","225","305","102","","136","1","136","","0","","68","","241576","","results_all","1","","","","","","","201","","85","","","43","","3.58273","","","satisfy","120774","0.008652"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","1.9407964162528515","","0.625869","1089847","0","","1376","5445","","17182","","1012","17138","157","","44","0","","complete","results_all","1","","","11088","","2976","","18526","","6161","","","279","2998","0.773027","","105","satisfy","4388","0.171778"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","3.5624136570841074","","0.396812","3264321","0","","944","3087","","9774","","684","9738","0","","36","0","","complete","results_all","1","","","6264","","64","","10696","","3561","","","84","25391","2.75705","","81","satisfy","25307","0.103243"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.2133138775826","","0.096806","644766140","0","351","467","156","","208","0","208","","0","","104","","62505829","","results_all","0","","","","","","","309","","139","","","71","","1199.9","","","satisfy","31252826","0.010824"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","1.4574097450822592","","0.640228","314854","0","","1286","5166","","16338","","924","16380","0","","42","0","","complete","results_all","1","","","10584","","7621","","17678","","5905","","","5997","0","0.209507","","103","satisfy","1352","0.171509"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.9490384440869093","","0.093484","2211294","0","","","114","","152","","152","","","","76","","","","results_all","1","","0","","","","0","225","","97","250","","","","1.72535","","","satisfy","31980",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.6368219237775","","1.03946","623043078","0","","1777","8375","","26375","","1300","26425","0","","50","0","","complete","results_all","0","","","17150","","0","","28214","","9408","","","15","4535192","1198.679314","","127","satisfy","4529604","0.277137"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.0142282079905272","","0.411097","229780","0","","944","3087","","9774","","684","9738","0","","36","0","","complete","results_all","1","","","6264","","5148","","10696","","3561","","","3676","0","0.149078","","81","satisfy","1324","0.103892"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.3555083237588406","","0.577461","354627","0","","1179","4610","","14580","","840","14620","0","","40","0","","complete","results_all","1","","","9440","","7078","","15812","","5283","","","5321","0","0.25547","","97","satisfy","1525","0.152896"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","429.6284000631422","","0.096742","574550905","0","","","132","","176","","176","","","","88","","","","results_all","1","","0","","","","0","261","","115","607","","","","429.361","","","satisfy","6160276",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.297208148986","","0.096755","626026180","0","359","483","162","","216","0","216","","0","","108","","60507538","","results_all","0","","","","","","","319","","141","","","71","","1199.9","","","satisfy","30253686","0.009658"
