"configuration","problem","model","data_file","status","time","flatTime","intVars","peakDepth","method","baseMem","boolVariables","blockType","oracleDecisions","nogoods","paths","evaluatedReifiedConstraints","peakMem","evaluatedHalfReifiedConstraints","objectiveBound","backjumps","userDecisions","objective","nodes","initTime","trailMem","flatIntVars","flatBoolVars","flatBoolConstraints","failures","propagations","run","extractedViews","flatIntConstraints","variables","randomSeed","solveTime","restarts","propagators","nSolutions","optTime","intVariables","unifiedVariables","solutions"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1203.1560658710077","7.00478","","","minimize","","","","","","0","120744","","","","","","15225","","","","1799","120552","20860","","","results_container_new","","121559","","","","","","11","","","",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.2529627438635","0.123459","","702","minimize","","","complete","327687","","0","1596","","","","","0","5320","","0.026281","","725","1026","570","278340","17903289","results_container_new","360","1050","","","1199.894321","0","1260","34","","365","0",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.1810348704457","0.131772","","2525","minimize","","","complete","333373","","0","1736","","","","","0","4788","","0.029136","","785","1116","620","269640","17932317","results_container_new","390","1140","","","1199.857038","0","1370","38","","395","0",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.7590227648616","2.47217","1079","1175","minimize","0.0","110547","","","1376562","0","43638","0.0","","","763150","","14256","2158970","0.581","0.94","1079","43524","7710","1376562","7504928285","results_container_new","","44129","111628","-178313657","1197.576","30","87786","30","1197.498","","",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1620212784037","0.125341","","827","minimize","","","complete","341726","","0","1596","","","","","0","6384","","0.026989","","725","1026","570","292986","12155349","results_container_new","360","1050","","","1199.855525","0","1260","33","","365","0",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.3359530419111","0.186808","","4534","minimize","","","complete","313945","","0","3388","","","","","0","16698","","0.05848","","1505","2178","1210","75753","6827625","results_container_new","750","2208","","","1199.831982","0","2668","50","","755","0",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","UNKNOWN","1200.9354376271367","1.65924","","247","minimize","","","","","","0","","","29700","","","","","2304440","0.266571","","605","29700","4950","1152152","3269932593","results_container_new","","30098","30305","","1198.34","0","35048","0","","","","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.1807896010578","7.04446","","","minimize","","119546","","","","0","1366","","119378","144","","","8775","","","","1205","120552","20860","507","2292435","results_container_new","","120965","","","52.9413","","","1","","","",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3074969248846","0.194603","","4440","minimize","","","complete","276757","","0","3360","","","","","0","17248","","0.058724","","1505","2160","1200","30592","3117484","results_container_new","750","2196","","","1199.755132","0","2646","52","","755","0",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.2047561239451","0.157743","","3671","minimize","","","complete","274192","","0","2688","","","","","0","12992","","0.044111","","1205","1728","960","70472","5718819","results_container_new","600","1758","","","1199.844183","0","2118","53","","605","0",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.1880845455453","2.82052","","17554","minimize","","","complete","3717674","","0","1736","","50310","","","0","4524","","0.577528","","785","51426","9005","1519604","1581416476","results_container_new","390","51449","","","1196.650946","0","51679","48","","395","0",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.2545787505805","0.171215","","3667","minimize","","","complete","300377","","0","2688","","","","","0","11904","","0.043814","","1205","1728","960","88786","7373590","results_container_new","600","1758","","","1199.86423","0","2118","55","","605","0",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.158302246593","0.113646","","651","minimize","","","complete","481332","","0","1302","","","","","0","3312","","0.022304","","605","837","465","428813","18754708","results_container_new","300","864","","","1199.87821","0","1029","41","","305","0",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3170133717358","0.180952","","5936","minimize","","","complete","278252","","0","3360","","","","","0","18240","","0.060114","","1505","2160","1200","72160","5970032","results_container_new","750","2196","","","1199.898915","0","2646","38","","755","0",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2869383869693","0.131927","","859","minimize","","","complete","349333","","0","1722","","","","","0","7800","","0.028132","","785","1107","615","301811","16705480","results_container_new","390","1134","","","1199.903295","0","1359","31","","395","0",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.19176838547","0.139687","","1003","minimize","","","complete","447493","","0","1736","","","","","0","4860","","0.028064","","785","1116","620","379141","24270232","results_container_new","390","1140","","","1199.850117","0","1370","43","","395","0",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.1249975292012","2.67482","","17848","minimize","","","complete","3575159","","0","1722","","50310","","","0","7360","","0.573265","","785","51417","9000","1732667","1777825100","results_container_new","390","51443","","","1196.79377","0","51668","43","","395","0",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.3695442872122","0.190546","","1143","minimize","","","complete","210912","","0","2688","","","","","0","7308","","0.040514","","1205","1728","960","158228","10989001","results_container_new","600","1758","","","1199.880614","0","2118","22","","605","0",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.2998286196962","0.121163","","658","minimize","","","complete","450542","","0","1302","","","","","0","3420","","0.022915","","605","837","465","402476","25318895","results_container_new","300","864","","","1199.889139","0","1029","30","","305","0",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1203.4141125483438","11.5457","","","minimize","","188575","","","","0","1681","","186749","375","","","20286","","","","1505","188190","32325","1093","5129936","results_container_new","","188705","","","116.01","","","1","","","",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.2808714425191","0.176466","","1509","minimize","","","complete","169842","","0","2688","","","","","0","11088","","0.040795","","1205","1728","960","106927","6441677","results_container_new","600","1758","","","1199.800268","0","2118","39","","605","0",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.3717100145295","0.166321","","1229","minimize","","","complete","151133","","0","2688","","","","","0","10920","","0.040782","","1205","1728","960","96225","4865529","results_container_new","600","1758","","","1199.827514","0","2118","30","","605","0",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.347894073464","0.165402","","1078","minimize","","","complete","194453","","0","2688","","","","","0","9792","","0.042046","","1205","1728","960","126321","8503697","results_container_new","600","1758","","","1199.861621","0","2118","38","","605","0",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.2865470936522","0.159558","","1699","minimize","","","complete","143049","","0","2688","","","","","0","10584","","0.041144","","1205","1728","960","88284","7164608","results_container_new","600","1758","","","1199.86705","0","2118","33","","605","0",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.268326553516","0.178868","","4347","minimize","","","complete","235420","","0","3388","","","","","0","17556","","0.058084","","1505","2178","1210","41211","4032074","results_container_new","750","2208","","","1199.861722","0","2668","39","","755","0",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.2914290204644","0.123448","","655","minimize","","","complete","349362","","0","1302","","","","","0","4320","","0.022515","","605","837","465","324553","22566611","results_container_new","300","864","","","1199.854246","0","1029","28","","305","0",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1202.6274111876264","6.41736","","39570","minimize","","","complete","3805402","","0","2688","","119400","","","0","10230","","1.446321","","1205","121128","20860","1058736","1954502887","results_container_new","600","121157","","","1192.267984","0","121517","39","","605","0",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.4449801975861","0.180208","","4456","minimize","","","complete","244441","","0","3388","","","","","0","16830","","0.059158","","1505","2178","1210","43705","4845688","results_container_new","750","2208","","","1199.925974","0","2668","42","","755","0",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.4002916682512","0.181986","","4614","minimize","","","complete","238954","","0","3360","","","","","0","19404","","0.05928","","1505","2160","1200","57170","4962051","results_container_new","750","2196","","","1199.99253","0","2646","36","","755","0",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.1762974737212","0.130914","","814","minimize","","","complete","324108","","0","1736","","","","","0","4576","","0.027206","","785","1116","620","267618","16049729","results_container_new","390","1140","","","1199.861405","0","1370","47","","395","0",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.1598550751805","0.12597","","876","minimize","","","complete","412730","","0","1736","","","","","0","4524","","0.028006","","785","1116","620","343849","21902803","results_container_new","390","1140","","","1199.853702","0","1370","42","","395","0",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.0702947806567","2.28337","","13828","minimize","","","complete","4017361","","0","1596","","42835","","","0","5152","","0.491142","","725","43861","7710","2123931","2018318511","results_container_new","360","43884","","","1197.26715","0","44094","48","","365","0",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1204.2273919554427","11.1042","","","minimize","","","","","","0","188444","","","","","","62208","","","","2249","188202","32335","","","results_container_new","","189459","","","","","","4","","","",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.2273270776495","0.117655","","974","minimize","","","complete","395800","","0","1302","","","","","0","4048","","0.021739","","605","837","465","355552","28755556","results_container_new","300","864","","","1199.888562","0","1029","46","","305","0",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.1022516097873","2.93069","","","minimize","","50983","","","","0","868","","50310","81","","","5940","","","","785","51054","9005","48776","73280731","results_container_new","","51325","","","849.009","","","4","","","",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.1883718613535","0.123465","","946","minimize","","","complete","326059","","0","1596","","","","","0","5175","","0.028841","","725","1026","570","278802","17057286","results_container_new","360","1050","","","1199.864858","0","1260","32","","365","0",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.2201807908714","0.190068","","4702","minimize","","","complete","327963","","0","3360","","","","","0","18772","","0.059826","","1505","2160","1200","59342","6849381","results_container_new","750","2196","","","1199.790459","0","2646","50","","755","0",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.2146738190204","0.126535","","900","minimize","","","complete","408893","","0","1596","","","","","0","6120","","0.02624","","725","1026","570","351069","22259297","results_container_new","360","1050","","","1199.865432","0","1260","35","","365","0",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2571198726073","0.138694","","1101","minimize","","","complete","417381","","0","1722","","","","","0","7866","","0.029912","","785","1107","615","365875","23673217","results_container_new","390","1134","","","1199.866182","0","1359","25","","395","0",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.2006012098864","0.161759","","1768","minimize","","","complete","225940","","0","2688","","","","","0","7560","","0.041286","","1205","1728","960","151086","10403006","results_container_new","600","1758","","","1199.836229","0","2118","30","","605","0",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1202.342147231102","7.01885","","","minimize","","119723","","","","0","1344","","119400","180","","","12635","","","","1205","120552","20860","6924","28503660","results_container_new","","120965","","","194.102","","","2","","","",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.2435762481764","0.175129","","1299","minimize","","","complete","139138","","0","2688","","","","","0","7695","","0.040571","","1205","1728","960","97683","7445777","results_container_new","600","1758","","","1199.796533","0","2118","22","","605","0",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.2904622079805","0.131467","","824","minimize","","","complete","469838","","0","1302","","","","","0","3400","","0.022054","","605","837","465","413163","24585324","results_container_new","300","864","","","1199.855378","0","1029","40","","305","0",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1203.2702752156183","11.3719","","","minimize","","188503","","","","0","1694","","186750","225","","","15120","","","","1505","188202","32335","2263","16597943","results_container_new","","188715","","","124.535","","","2","","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","UNKNOWN","1204.2654647575691","10.8857","","","minimize","","","","","","0","","","186750","","","","","","","","1505","186750","31125","","","results_container_new","","187747","","","","","","0","","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.769876821898","1.72094","","","minimize","","30865","","","","0","658","","29700","150","","","5445","","","","605","30264","5420","12935","14018301","results_container_new","","30475","","","91.3064","","","5","","","",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.6496560359374","6.50706","","38445","minimize","","","complete","3834732","","0","2688","","119378","","","0","6750","","1.449851","","1205","121106","20860","1086952","1963883925","results_container_new","600","121135","","","1192.162769","0","121495","33","","605","0",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.1798975206912","0.122824","","743","minimize","","","complete","329926","","0","1596","","","","","0","5016","","0.026806","","725","1026","570","287763","19192629","results_container_new","360","1050","","","1199.878354","0","1260","24","","365","0",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.3285591062158","0.120335","","776","minimize","","","complete","526407","","0","1316","","","","","0","5104","","0.023674","","605","846","470","472083","29153543","results_container_new","300","870","","","1199.875046","0","1040","36","","305","0",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","UNKNOWN","1200.9783356096596","1.68146","","248","minimize","","","","","","0","","","29700","","","","","2611843","0.269279","","605","29700","4950","1305851","1486046208","results_container_new","","30099","30305","","1198.32","0","35049","0","","","","0"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.2191145336255","0.161981","","4579","minimize","","","complete","259222","","0","2688","","","","","0","13419","","0.042643","","1205","1728","960","84907","5373426","results_container_new","600","1758","","","1199.853594","0","2118","41","","605","0",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.8152056280524","2.87232","1169","862","minimize","0.0","122852","","","1775765","0","51171","0.0","","","1234685","","9180","3042047","0.684","1.41","1169","51048","9000","1775765","7345065913","results_container_new","","51704","124023","-189350259","1197.125","50","102897","50","473.841","","",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.2545395139605","0.139721","","637","minimize","","","complete","374185","","0","1596","","","","","0","5474","","0.026197","","725","1026","570","322992","21488265","results_container_new","360","1050","","","1199.85109","0","1260","37","","365","0",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1204.300901407376","10.9237","","","minimize","","","","","","0","188408","","","","","","73206","","","","2249","188168","32325","","","results_container_new","","189427","","","","","","9","","","",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.2452057497576","0.118196","","984","minimize","","","complete","576180","","0","1316","","","","","0","4998","","0.023346","","605","846","470","520247","20499967","results_container_new","300","870","","","1199.893406","0","1040","44","","305","0",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.966454334557","2.48835","","","minimize","","42740","","","","0","810","","42828","150","","","7410","","","","725","43524","7710","247","908925","results_container_new","","43775","","","10.3164","","","1","","","",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.230850229971","0.158712","","1845","minimize","","","complete","135294","","0","2688","","","","","0","7344","","0.041703","","1205","1728","960","79784","4664749","results_container_new","600","1758","","","1199.864782","0","2118","29","","605","0",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.7678298261017","1.78181","","","minimize","","32044","","","","0","651","","29666","180","","","6000","","","","605","30224","5415","160717","229945730","results_container_new","","30436","","","933.218","","","9","","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.0413828985766","2.41726","","","minimize","","43066","","","","0","803","","42835","180","","","9216","","","","725","43524","7710","523","4039105","results_container_new","","43775","","","19.8905","","","2","","","",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.2151442319155","0.126834","","878","minimize","","","complete","346448","","0","1596","","","","","0","5040","","0.02553","","725","1026","570","290345","13467825","results_container_new","360","1050","","","1199.895682","0","1260","43","","365","0",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.17611751426","0.117384","","869","minimize","","","complete","479177","","0","1316","","","","","0","5060","","0.022735","","605","846","470","420996","26059393","results_container_new","300","870","","","1199.881115","0","1040","45","","305","0",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.4037809185684","0.179437","","4408","minimize","","","complete","231274","","0","3388","","","","","0","17400","","0.0567","","1505","2178","1210","46080","3359781","results_container_new","750","2208","","","1199.939355","0","2668","37","","755","0",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.2931363368407","0.141003","","595","minimize","","","complete","367320","","0","1302","","","","","0","3971","","0.024602","","605","837","465","324950","22200551","results_container_new","300","864","","","1199.856286","0","1029","33","","305","0",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.3680069092661","0.162965","","1478","minimize","","","complete","133157","","0","2688","","","","","0","7866","","0.040854","","1205","1728","960","88195","7194872","results_container_new","600","1758","","","1199.872758","0","2118","22","","605","0",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","UNKNOWN","1201.4518393613398","2.87115","","273","minimize","","","","","","0","","","50310","","","","","1911137","0.461511","","785","50310","8385","955457","1661152046","results_container_new","","50829","51095","","1197.13","0","59214","0","","","","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2313346872106","0.128227","","886","minimize","","","complete","435101","","0","1722","","","","","0","7560","","0.029548","","785","1107","615","369502","21999815","results_container_new","390","1134","","","1199.865419","0","1359","47","","395","0",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.199091596529","0.127674","","2103","minimize","","","complete","333038","","0","1736","","","","","0","4788","","0.02773","","785","1116","620","272405","11761206","results_container_new","390","1140","","","1199.885209","0","1370","39","","395","0",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.7735417066142","1.69608","","35732","minimize","","","complete","3870545","","0","1302","","29666","","","0","3640","","0.359692","","605","30503","5415","2365809","1861092696","results_container_new","300","30529","","","1197.969024","0","30694","13","","305","0",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.6774188000709","1.67074","","10221","minimize","","","complete","4108276","","0","1302","","29700","","","0","3230","","0.34493","","605","30537","5415","2170417","1723078051","results_container_new","300","30563","","","1198.007935","0","30728","39","","305","0",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1201.23204515595","1.7524","899","633","minimize","0.0","81855","","","2143671","0","30351","0.0","","","1446783","","4032","3616118","0.407","0.63","899","30258","5415","2143671","4362569597","results_container_new","","30764","82756","1088558136","1198.244","53","61137","53","1125.804","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.0785384196788","3.06409","","","minimize","","50379","","","","0","861","","50310","180","","","9918","","","","785","51048","9000","329","4425545","results_container_new","","51320","","","21.3213","","","2","","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1202.2099004825577","6.9911","","","minimize","","119462","","","","0","1366","","119378","144","","","8645","","","","1205","120552","20860","438","2126830","results_container_new","","120965","","","52.1588","","","1","","","",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.2637820737436","0.171098","","1479","minimize","","","complete","145187","","0","2688","","","","","0","12168","","0.040918","","1205","1728","960","98303","7808347","results_container_new","600","1758","","","1199.879612","0","2118","25","","605","0",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1778012737632","0.132127","","797","minimize","","","complete","440951","","0","1596","","","","","0","6300","","0.026271","","725","1026","570","379353","21531932","results_container_new","360","1050","","","1199.86119","0","1260","32","","365","0",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.2660106858239","0.120568","","869","minimize","","","complete","448310","","0","1316","","","","","0","5225","","0.023621","","605","846","470","399657","24061518","results_container_new","300","870","","","1199.864988","0","1040","34","","305","0",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1201.54944930505","2.52554","1079","715","minimize","0.0","101469","","","1962937","0","43638","0.0","","","1263353","","5850","3246389","0.57","0.94","1079","43524","7710","1962937","6586899576","results_container_new","","44129","102550","-1372543787","1197.471","37","87786","37","1187.758","","",""
