"configuration","problem","model","data_file","status","time","flatIntConstraints","flatIntVars","restarts","backjumps","nSolutions","nogoods","blockType","flatTime","optTime","userDecisions","randomSeed","evaluatedHalfReifiedConstraints","boolVariables","baseMem","flatBoolConstraints","initTime","objective","nodes","intVars","objectiveBound","unifiedVariables","trailMem","intVariables","peakMem","failures","oracleDecisions","propagators","flatBoolVars","peakDepth","run","variables","propagations","method","paths","extractedViews","evaluatedReifiedConstraints","solutions","solveTime"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","UNKNOWN","1203.2329791830853","121559","1799","","","0","","","7.03916","","","","","","","20860","","","","","","","","","","","","","120552","","results_container","","","minimize","0","","120744","",""
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.6645372891799","1140","785","5051","","53","","complete","0.255349","","0","","","","","620","0.032441","4374","","","","0","","395","","370919","1398406","1370","1116","1835","results_container","","56402319","minimize","0","390","1736","","1199.734454"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","UNKNOWN","1203.269948859699","120197","1205","","","0","","","6.89239","","","","119400","","","19900","","","","","","","","","","","","","119400","","results_container","","","minimize","0","","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.192246175371","120965","1205","","","2","","","6.89914","","","","119400","119543","","20860","","9975","","","180","","","","","843","","","120552","","results_container","","7253091","minimize","0","","1344","","85.0851"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1203.1850745268166","120197","1205","","","0","","","6.91725","","","","119400","","","19900","","","","","","","","","","","","","119400","","results_container","","","minimize","0","","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","UNKNOWN","1201.3662195708603","43319","725","0","","0","","","2.44965","","","","42840","","","7140","0.391168","","1401195","","","","","","","700524","","50459","42840","209","results_container","43565","1645927352","minimize","0","","","0","1197.55"
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.6282749203965","864","605","8101","","56","","complete","0.19484","","0","","","","","465","0.03303","3328","","","","0","","305","","450994","2007996","1029","837","1328","results_container","","68381698","minimize","0","300","1302","","1199.791797"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.1888611409813","1134","785","1495","","34","","complete","0.124079","","0","","","","","615","0.0273","8100","","","","0","","395","","107312","450661","1359","1107","1728","results_container","","13489851","minimize","0","390","1722","","1199.895507"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3468237258494","2196","1505","229","","53","","complete","0.194672","","0","","","","","1200","0.060366","20979","","","","0","","755","","18514","432129","2646","2160","10392","results_container","","5334281","minimize","0","750","3360","","1199.759465"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1201.1747355991974","43889","725","29146","","51","","complete","2.3315","","0","","42840","","","7710","0.506487","5568","","","","0","","365","","817570","15883525","44099","43866","53326","results_container","","6539463464","minimize","0","360","1596","","1197.199416"
"Huub_vsids_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.6343100760132","870","605","5127","","53","","complete","0.210633","","0","","","","","470","0.028942","4896","","","","0","","305","","418590","1378762","1040","846","1263","results_container","","51048233","minimize","0","300","1316","","1199.787246"
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.6143269026652","1758","1205","668","","31","","complete","0.261125","","0","","","","","960","0.041248","7392","","","","0","","605","","37538","373839","2118","1728","3372","results_container","","9142496","minimize","0","600","2688","","1199.714428"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","UNKNOWN","1204.4974208241329","187745","1505","","","0","","","11.1583","","","","186750","","","31125","","","","","","","","","","","","","186750","","results_container","","","minimize","0","","","",""
"Huub_vsids_basic","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.6749176094308","1050","725","5231","","51","","complete","0.253013","","0","","","","","570","0.032212","5236","","","","0","","365","","591490","1417166","1260","1026","2408","results_container","","62447920","minimize","0","360","1596","","1199.743787"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.2714033927768","1758","1205","259","","49","","complete","0.163518","","0","","","","","960","0.043473","7866","","","","0","","605","","14389","288342","2118","1728","5569","results_container","","4905624","minimize","0","600","2688","","1199.827926"
"Huub_vsids_m+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.6506523527205","1140","785","3121","","54","","complete","0.260033","","0","","","","","620","0.03388","4560","","","","0","","395","","184581","927733","1370","1116","2441","results_container","","32583452","minimize","0","390","1736","","1199.720835"
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.6581917703152","2208","1505","759","","37","","complete","0.300609","","0","","","","","1210","0.059421","18144","","","","0","","755","","81499","633983","2668","2178","4442","results_container","","16413049","minimize","0","750","3388","","1199.673559"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.2413407601416","2196","1505","193","","51","","complete","0.179939","","0","","","","","1200","0.060532","18711","","","","0","","755","","8393","375296","2646","2160","7073","results_container","","4679365","minimize","0","750","3360","","1199.826957"
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.6130269197747","864","605","4584","","48","","complete","0.21448","","0","","","","","465","0.028813","3978","","","","0","","305","","440854","1175591","1029","837","3039","results_container","","42658899","minimize","0","300","1302","","1199.763914"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1203.3713928209618","121559","1799","","","0","","","7.13778","","","","","","","20860","","","","","","","","","","","","","120552","","results_container","","","minimize","0","","120744","",""
"Huub_vsids_basic","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.640580650419","870","605","6129","","41","","complete","0.213243","","0","","","","","470","0.028026","4785","","","","0","","305","","777125","1770305","1040","846","1312","results_container","","69361610","minimize","0","300","1316","","1199.786196"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.8066318286583","30569","605","43673","","42","","complete","1.66954","","0","","29700","","","5420","0.35248","4872","","","","0","","305","","1183596","15618679","30739","30546","32104","results_container","","6442172001","minimize","0","300","1316","","1198.00832"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.833842373453","30529","605","56249","","37","","complete","1.73849","","0","","29666","","","5415","0.360785","3870","","","","0","","305","","1357245","15585216","30694","30503","37434","results_container","","7211005220","minimize","0","300","1302","","1197.918673"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.4054830428213","51449","785","33855","","59","","complete","2.80996","","0","","50310","","","9005","0.565113","4590","","","","0","","395","","727051","12298654","51679","51426","54505","results_container","","7650073935","minimize","0","390","1736","","1196.679644"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1203.1708169775084","121559","1799","","","9","","","7.00769","","","","","","","20860","","35910","","","","","","","","","","","120552","","results_container","","","minimize","0","","120744","",""
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.6499847555533","1050","725","4033","","42","","complete","0.254292","","0","","","","","570","0.035093","5120","","","","0","","365","","328664","899043","1260","1026","2299","results_container","","37793266","minimize","0","360","1596","","1199.716523"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.1939067840576","1758","1205","1565","","39","","complete","0.1583","","0","","","","","960","0.041123","10260","","","","0","","605","","152140","656847","2118","1728","2599","results_container","","23478061","minimize","0","600","2688","","1199.832362"
"Huub_vsids_basic","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.6427876474336","2208","1505","550","","43","","complete","0.302836","","0","","","","","1210","0.06003","15960","","","","0","","755","","93502","630056","2668","2178","8491","results_container","","16031031","minimize","0","750","3388","","1199.658095"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.2900751773268","864","605","4147","","42","","complete","0.114386","","0","","","","","465","0.022726","3360","","","","0","","305","","272526","1158198","1029","837","1723","results_container","","33000417","minimize","0","300","1302","","1199.911529"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.4064335636795","1758","1205","637","","38","","complete","0.162332","","0","","","","","960","0.043815","11250","","","","0","","605","","38415","311513","2118","1728","2626","results_container","","7937865","minimize","0","600","2688","","1199.806981"
"Huub_vsids_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.647204306908","2196","1505","250","","58","","complete","0.303973","","0","","","","","1200","0.061219","19425","","","","0","","755","","10162","438717","2646","2160","7480","results_container","","6315220","minimize","0","750","3360","","1199.648628"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.188738306053","1758","1205","269","","29","","complete","0.157667","","0","","","","","960","0.039552","8160","","","","0","","605","","19334","258777","2118","1728","4048","results_container","","4630457","minimize","0","600","2688","","1199.83545"
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.7750247269869","1758","1205","696","","51","","complete","0.290385","","0","","","","","960","0.043077","7448","","","","0","","605","","53344","459929","2118","1728","7942","results_container","","11810918","minimize","0","600","2688","","1199.814225"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.6514201518148","121157","1205","10888","","33","","complete","6.60328","","0","","119400","","","20860","1.473707","10868","","","","0","","605","","363871","12126798","121517","121128","156024","results_container","","5740356097","minimize","0","600","2688","","1192.050495"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","UNKNOWN","1203.1527636591345","120197","1205","","","0","","","6.81761","","","","119400","","","19900","","","","","","","","","","","","","119400","","results_container","","","minimize","0","","","",""
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.5889528384432","1134","785","4317","","45","","complete","0.208426","","0","","","","","615","0.035056","7812","","","","0","","395","","368959","1285907","1359","1107","2137","results_container","","51258551","minimize","0","390","1722","","1199.761403"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.1465874686837","870","605","6178","","41","","complete","0.112744","","0","","","","","470","0.022542","4785","","","","0","","305","","825441","1823250","1040","846","1312","results_container","","71288569","minimize","0","300","1316","","1199.868872"
"Huub_vsids_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.6278969002888","864","605","5426","","46","","complete","0.191685","","0","","","","","465","0.032781","3360","","","","0","","305","","297273","1357843","1029","837","1826","results_container","","44859647","minimize","0","300","1302","","1199.789444"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.7344911582768","30569","605","42956","","42","","complete","1.77163","","0","","29700","","","5420","0.350393","4872","","","","0","","305","","1177316","15405602","30739","30546","32104","results_container","","6344963458","minimize","0","300","1316","","1197.916066"
"Huub_vsids_m+o","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.5974810384214","1050","725","3355","","45","","complete","0.217365","","0","","","","","570","0.031792","5083","","","","0","","365","","209265","1006391","1260","1026","1916","results_container","","33831218","minimize","0","360","1596","","1199.760851"
"Huub_vsids_basic","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.6142490264028","1050","725","5310","","34","","complete","0.21288","","0","","","","","570","0.032592","4600","","","","0","","365","","516360","1456172","1260","1026","1524","results_container","","57209935","minimize","0","360","1596","","1199.766102"
"Huub_vsids_basic","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.6475407322869","1758","1205","1489","","49","","complete","0.280254","","0","","","","","960","0.042856","9975","","","","0","","605","","158354","669105","2118","1728","3356","results_container","","24171364","minimize","0","600","2688","","1199.699374"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.3945810496807","2208","1505","517","","40","","complete","0.17857","","0","","","","","1210","0.058698","20832","","","","0","","755","","41057","381510","2668","2178","4429","results_container","","6559014","minimize","0","750","3388","","1199.99484"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.7494443897158","30470","605","","","2","","","1.74756","","","","29700","30122","","5415","","5568","","","90","","","","","328","","","30258","","results_container","","2660720","minimize","0","","651","","11.54"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.9285679757595","43884","725","39653","","46","","complete","2.24534","","0","","42835","","","7710","0.494573","5400","","","","0","","365","","1165339","14187612","44094","43861","56102","results_container","","7523129070","minimize","0","360","1596","","1197.292611"
"Huub_vsids_m+o","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.6821137899533","1758","1205","650","","41","","complete","0.290915","","0","","","","","960","0.043511","7980","","","","0","","605","","35270","452564","2118","1728","4249","results_container","","10796610","minimize","0","600","2688","","1199.718881"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1203.1560658710077","121559","1799","","","11","","","7.00478","","","","","","","20860","","15225","","","","","","","","","","","120552","","results_container","","","minimize","0","","120744","",""
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.3843473680317","51449","785","34040","","59","","complete","2.79606","","0","","50310","","","9005","0.568257","4590","","","","0","","395","","729375","12350488","51679","51426","54505","results_container","","7687862445","minimize","0","390","1736","","1196.6854"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.4117422653362","1758","1205","692","","35","","complete","0.172972","","0","","","","","960","0.041628","10200","","","","0","","605","","67389","321299","2118","1728","2451","results_container","","8338272","minimize","0","600","2688","","1199.847059"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.1874557677656","1758","1205","1493","","35","","complete","0.157452","","0","","","","","960","0.043733","12240","","","","0","","605","","150719","756338","2118","1728","3389","results_container","","24190658","minimize","0","600","2688","","1199.83142"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.1678178710863","1050","725","4133","","43","","complete","0.13193","","0","","","","","570","0.026519","5148","","","","0","","365","","705918","1420481","1260","1026","1815","results_container","","49953804","minimize","0","360","1596","","1199.85718"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.480628198944","1758","1205","325","","39","","complete","0.164773","","0","","","","","960","0.040934","11020","","","","0","","605","","20150","192488","2118","1728","3983","results_container","","4607033","minimize","0","600","2688","","1199.94461"
"Huub_vsids_basic","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.6139537328854","1758","1205","1528","","39","","complete","0.252272","","0","","","","","960","0.042352","10260","","","","0","","605","","148267","644402","2118","1728","2599","results_container","","22741273","minimize","0","600","2688","","1199.731696"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.266576464288","1134","785","2171","","43","","complete","0.128542","","0","","","","","615","0.02858","7776","","","","0","","395","","233434","642655","1359","1107","2638","results_container","","19839747","minimize","0","390","1722","","1199.852037"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.2324766563252","1050","725","2818","","34","","complete","0.127071","","0","","","","","570","0.026577","5880","","","","0","","365","","247919","818963","1260","1026","1592","results_container","","23830737","minimize","0","360","1596","","1199.857345"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.7590227648616","44129","1079","30","763150","30","1376562","","2.47217","1197.498","","-178313657","","110547","0.0","7710","0.581","14256","2158970","1079","","","0.94","","0.0","1376562","","87786","43524","1175","results_container","111628","7504928285","minimize","0","","43638","","1197.576"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.4569636313245","870","605","2640","","32","","complete","0.151291","","0","","","","","470","0.022396","5100","","","","0","","305","","192622","754764","1040","846","1397","results_container","","20016976","minimize","0","300","1316","","1199.847929"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","UNKNOWN","1200.9354376271367","30098","605","0","","0","","","1.65924","","","","29700","","","4950","0.266571","","2304440","","","","","","","1152152","","35048","29700","247","results_container","30305","3269932593","minimize","0","","","0","1198.34"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.1840712549165","1758","1205","1175","","56","","complete","0.157463","","0","","","","","960","0.04352","13398","","","","0","","605","","135978","781487","2118","1728","3640","results_container","","19100693","minimize","0","600","2688","","1199.829868"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.1807896010578","120965","1205","","","1","","","7.04446","","","","119378","119546","","20860","","8775","","","144","","","","","507","","","120552","","results_container","","2292435","minimize","0","","1366","","52.9413"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.1555371116847","864","605","4189","","46","","complete","0.113801","","0","","","","","465","0.021474","3360","","","","0","","305","","344375","1091404","1029","837","2280","results_container","","29096433","minimize","0","300","1302","","1199.88097"
"Huub_vsids_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.6739645665511","1758","1205","623","","46","","complete","0.290684","","0","","","","","960","0.04326","8100","","","","0","","605","","51377","480518","2118","1728","4249","results_container","","11998161","minimize","0","600","2688","","1199.713262"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.2181775169447","1758","1205","591","","33","","complete","0.169555","","0","","","","","960","0.041385","11250","","","","0","","605","","28718","306607","2118","1728","2598","results_container","","7456285","minimize","0","600","2688","","1199.850144"
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.6276651155204","864","605","3248","","54","","complete","0.192179","","0","","","","","465","0.033329","3344","","","","0","","305","","342093","977193","1029","837","2380","results_container","","32213448","minimize","0","300","1302","","1199.79623"
"Huub_vsids_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.6184321912006","1758","1205","773","","34","","complete","0.255108","","0","","","","","960","0.04225","10890","","","","0","","605","","55059","385464","2118","1728","2598","results_container","","11073965","minimize","0","600","2688","","1199.732042"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.3471026262268","1140","785","4234","","42","","complete","0.13608","","0","","","","","620","0.027983","4554","","","","0","","395","","420534","1310527","1370","1116","2364","results_container","","44274236","minimize","0","390","1736","","1199.853109"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.985655836761","30563","605","38906","","60","","complete","1.67064","","0","","29700","","","5415","0.343944","3168","","","","0","","305","","1109348","15461440","30728","30537","36022","results_container","","5722011929","minimize","0","300","1302","","1198.017407"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.2754808794707","1758","1205","391","","34","","complete","0.158529","","0","","","","","960","0.040798","11160","","","","0","","605","","21225","187947","2118","1728","2598","results_container","","4906840","minimize","0","600","2688","","1199.804391"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.248832278885","1758","1205","583","","45","","complete","0.154656","","0","","","","","960","0.042234","7776","","","","0","","605","","34844","425399","2118","1728","4779","results_container","","8635072","minimize","0","600","2688","","1199.902102"
"Huub_vsids_m+o","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.62898975797","870","605","4929","","45","","complete","0.215475","","0","","","","","470","0.028705","5040","","","","0","","305","","396167","1310190","1040","846","1263","results_container","","47942642","minimize","0","300","1316","","1199.780529"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1204.1579014072195","188957","1505","5669","","57","","complete","11.5099","","0","","186750","","","32335","2.268705","16896","","","","0","","755","","207718","17553967","189417","188928","247767","results_container","","5584791762","minimize","0","750","3388","","1186.440846"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.1608120128512","864","605","4261","","47","","complete","0.119603","","0","","","","","465","0.022997","3900","","","","0","","305","","480479","1177546","1029","837","2137","results_container","","35664615","minimize","0","300","1302","","1199.867233"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1203.4141125483438","188705","1505","","","1","","","11.5457","","","","186749","188575","","32325","","20286","","","375","","","","","1093","","","188190","","results_container","","5129936","minimize","0","","1681","","116.01"
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5889063524082","1050","725","2950","","39","","complete","0.22195","","0","","","","","570","0.032252","5880","","","","0","","365","","268278","870778","1260","1026","2436","results_container","","32127840","minimize","0","360","1596","","1199.755043"
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.7244617668912","2208","1505","347","","44","","complete","0.286119","","0","","","","","1210","0.058458","17250","","","","0","","755","","18697","414397","2668","2178","7571","results_container","","6958472","minimize","0","750","3388","","1199.796199"
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.664244433865","1758","1205","1442","","39","","complete","0.287679","","0","","","","","960","0.043311","8460","","","","0","","605","","91960","775559","2118","1728","3705","results_container","","24134106","minimize","0","600","2688","","1199.699007"
